Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,Pattern_ID,Test_ID,Failure_Code,Margin_GHz
17,LOT_A001,W001,D0001,0.8,1.32,85,72.403,0.8962,3.202,1.825,ATPG_017,SCAN_AT_SPEED,FREQ_MARGIN,-0.092
18,LOT_A001,W001,D0001,0.8,1.34,85,74.268,0.8841,3.201,1.882,ATPG_018,SCAN_AT_SPEED,FREQ_MARGIN,-0.117
19,LOT_A001,W001,D0001,0.8,1.36,85,75.224,0.8742,3.231,1.849,ATPG_019,SCAN_AT_SPEED,FREQ_MARGIN,-0.1263
20,LOT_A001,W001,D0001,0.8,1.38,85,74.873,0.9001,3.281,1.859,ATPG_020,SCAN_AT_SPEED,FREQ_MARGIN,-0.1743
21,LOT_A001,W001,D0001,0.8,1.4,85,74.443,0.8978,3.16,1.866,ATPG_021,SCAN_AT_SPEED,FREQ_MARGIN,-0.1935
22,LOT_A001,W001,D0001,0.8,1.42,85,79.455,0.9157,3.319,1.873,ATPG_022,SCAN_AT_SPEED,FREQ_MARGIN,-0.1807
23,LOT_A001,W001,D0001,0.8,1.44,85,76.872,0.9223,3.649,1.872,ATPG_023,SCAN_AT_SPEED,FREQ_MARGIN,-0.2425
24,LOT_A001,W001,D0001,0.8,1.46,85,77.718,0.9088,3.451,1.913,ATPG_024,SCAN_AT_SPEED,FREQ_MARGIN,-0.2226
25,LOT_A001,W001,D0001,0.8,1.48,85,77.003,0.9637,3.07,1.91,ATPG_025,SCAN_AT_SPEED,FREQ_MARGIN,-0.2338
26,LOT_A001,W001,D0001,0.8,1.5,85,77.717,0.9368,3.295,1.87,ATPG_026,SCAN_AT_SPEED,FREQ_MARGIN,-0.2286
27,LOT_A001,W001,D0001,0.8,1.52,85,80.483,0.9365,3.351,1.857,ATPG_027,SCAN_AT_SPEED,FREQ_MARGIN,-0.3159
28,LOT_A001,W001,D0001,0.8,1.54,85,79.81,0.9584,3.402,1.848,ATPG_028,SCAN_AT_SPEED,FREQ_MARGIN,-0.2801
29,LOT_A001,W001,D0001,0.8,1.56,85,84.433,0.9439,3.308,1.911,ATPG_029,SCAN_AT_SPEED,FREQ_MARGIN,-0.3239
30,LOT_A001,W001,D0001,0.8,1.58,85,80.713,0.9576,3.358,1.916,ATPG_030,SCAN_AT_SPEED,FREQ_MARGIN,-0.3339
31,LOT_A001,W001,D0001,0.8,1.6,85,84.424,0.9778,3.315,1.92,ATPG_031,SCAN_AT_SPEED,FREQ_MARGIN,-0.3635
32,LOT_A001,W001,D0001,0.8,1.62,85,88.018,1.0071,3.101,1.938,ATPG_032,SCAN_AT_SPEED,FREQ_MARGIN,-0.4009
33,LOT_A001,W001,D0001,0.8,1.64,85,86.937,1.0281,3.157,1.954,ATPG_033,SCAN_AT_SPEED,FREQ_MARGIN,-0.4255
34,LOT_A001,W001,D0001,0.8,1.66,85,87.86,1.0499,3.243,1.889,ATPG_034,SCAN_AT_SPEED,FREQ_MARGIN,-0.4206
35,LOT_A001,W001,D0001,0.8,1.68,85,85.772,1.023,3.331,1.933,ATPG_035,SCAN_AT_SPEED,FREQ_MARGIN,-0.464
36,LOT_A001,W001,D0001,0.8,1.7,85,88.123,1.0592,3.24,2.035,ATPG_036,SCAN_AT_SPEED,FREQ_MARGIN,-0.4531
37,LOT_A001,W001,D0001,0.8,1.72,85,87.417,1.0223,3.352,1.921,ATPG_037,SCAN_AT_SPEED,FREQ_MARGIN,-0.4767
38,LOT_A001,W001,D0001,0.8,1.74,85,90.672,1.0489,3.153,1.873,ATPG_038,SCAN_AT_SPEED,FREQ_MARGIN,-0.4951
39,LOT_A001,W001,D0001,0.8,1.76,85,92.222,1.0627,3.093,1.944,ATPG_039,SCAN_AT_SPEED,FREQ_MARGIN,-0.536
40,LOT_A001,W001,D0001,0.8,1.78,85,89.949,1.0702,3.289,1.895,ATPG_040,SCAN_AT_SPEED,FREQ_MARGIN,-0.5411
41,LOT_A001,W001,D0001,0.8,1.8,85,93.409,1.0955,3.438,1.889,ATPG_041,SCAN_AT_SPEED,FREQ_MARGIN,-0.5616
42,LOT_A001,W001,D0001,0.8,1.82,85,94.187,1.0938,3.357,2.102,ATPG_042,SCAN_AT_SPEED,FREQ_MARGIN,-0.6049
43,LOT_A001,W001,D0001,0.8,1.84,85,96.164,1.1104,3.378,1.939,ATPG_043,SCAN_AT_SPEED,TIMING,-0.5977
44,LOT_A001,W001,D0001,0.8,1.86,85,93.589,1.0975,3.207,1.958,ATPG_044,SCAN_AT_SPEED,FREQ_MARGIN,-0.6143
45,LOT_A001,W001,D0001,0.8,1.88,85,92.479,1.1228,3.038,1.94,ATPG_045,SCAN_AT_SPEED,TIMING,-0.6063
46,LOT_A001,W001,D0001,0.8,1.9,85,96.816,1.0996,3.173,1.989,ATPG_046,SCAN_AT_SPEED,FREQ_MARGIN,-0.6484
47,LOT_A001,W001,D0001,0.8,1.92,85,97.95,1.1284,3.182,2.051,ATPG_047,SCAN_AT_SPEED,TIMING,-0.7011
48,LOT_A001,W001,D0001,0.8,1.94,85,94.775,1.1396,3.181,2.003,ATPG_048,SCAN_AT_SPEED,TIMING,-0.6966
49,LOT_A001,W001,D0001,0.8,1.96,85,99.073,1.1539,3.41,1.925,ATPG_049,SCAN_AT_SPEED,TIMING,-0.7423
50,LOT_A001,W001,D0001,0.8,1.98,85,99.285,1.1416,3.545,1.993,ATPG_050,SCAN_AT_SPEED,TIMING,-0.754
51,LOT_A001,W001,D0001,0.81,1,85,59.932,0.769,3.49,1.739,ATPG_051,SCAN_AT_SPEED,NA,0.2482
52,LOT_A001,W001,D0001,0.81,1.02,85,61.42,0.7267,3.402,1.835,ATPG_052,SCAN_AT_SPEED,NA,0.2422
53,LOT_A001,W001,D0001,0.81,1.04,85,59.893,0.6897,3.181,1.797,ATPG_053,SCAN_AT_SPEED,NA,0.2142
54,LOT_A001,W001,D0001,0.81,1.06,85,63.798,0.7309,3.269,1.816,ATPG_054,SCAN_AT_SPEED,NA,0.1885
55,LOT_A001,W001,D0001,0.81,1.08,85,59.135,0.7861,3.337,1.775,ATPG_055,SCAN_AT_SPEED,NA,0.2169
56,LOT_A001,W001,D0001,0.81,1.1,85,62.938,0.763,3.345,1.803,ATPG_056,SCAN_AT_SPEED,NA,0.1792
57,LOT_A001,W001,D0001,0.81,1.12,85,64.632,0.8109,3.149,1.907,ATPG_057,SCAN_AT_SPEED,NA,0.153
58,LOT_A001,W001,D0001,0.81,1.14,85,64.027,0.8016,3.377,1.8,ATPG_058,SCAN_AT_SPEED,NA,0.0958
59,LOT_A001,W001,D0001,0.81,1.16,85,64.273,0.789,3.462,1.843,ATPG_059,SCAN_AT_SPEED,NA,0.1072
60,LOT_A001,W001,D0001,0.81,1.18,85,67.639,0.8137,3.457,1.858,ATPG_060,SCAN_AT_SPEED,NA,0.0784
61,LOT_A001,W001,D0001,0.81,1.2,85,65.872,0.8303,3.427,1.835,ATPG_061,SCAN_AT_SPEED,NA,0.056
62,LOT_A001,W001,D0001,0.81,1.22,85,70.04,0.8148,3.417,1.832,ATPG_062,SCAN_AT_SPEED,NA,0.053
63,LOT_A001,W001,D0001,0.81,1.24,85,70.578,0.8489,3.457,1.895,ATPG_063,SCAN_AT_SPEED,NA,0.027
64,LOT_A001,W001,D0001,0.81,1.26,85,70.688,0.837,3.384,1.842,ATPG_064,SCAN_AT_SPEED,NA,0.0113
65,LOT_A001,W001,D0001,0.81,1.28,85,71.391,0.8365,3.649,1.81,ATPG_065,SCAN_AT_SPEED,FREQ_MARGIN,-0.0073
66,LOT_A001,W001,D0001,0.81,1.3,85,73.265,0.874,3.429,1.879,ATPG_066,SCAN_AT_SPEED,FREQ_MARGIN,-0.0509
67,LOT_A001,W001,D0001,0.81,1.32,85,70.425,0.8698,3.233,1.897,ATPG_067,SCAN_AT_SPEED,FREQ_MARGIN,-0.0493
68,LOT_A001,W001,D0001,0.81,1.34,85,71.414,0.8712,3.397,1.839,ATPG_068,SCAN_AT_SPEED,FREQ_MARGIN,-0.0717
69,LOT_A001,W001,D0001,0.81,1.36,85,74.199,0.89,3.259,1.846,ATPG_069,SCAN_AT_SPEED,FREQ_MARGIN,-0.1039
70,LOT_A001,W001,D0001,0.81,1.38,85,72.013,0.8689,3.227,1.86,ATPG_070,SCAN_AT_SPEED,FREQ_MARGIN,-0.1049
71,LOT_A001,W001,D0001,0.81,1.4,85,78.136,0.9182,3.311,1.871,ATPG_071,SCAN_AT_SPEED,FREQ_MARGIN,-0.1235
72,LOT_A001,W001,D0001,0.81,1.42,85,76.307,0.9062,3.383,1.843,ATPG_072,SCAN_AT_SPEED,FREQ_MARGIN,-0.1671
73,LOT_A001,W001,D0001,0.81,1.44,85,79.959,0.918,3.395,1.907,ATPG_073,SCAN_AT_SPEED,FREQ_MARGIN,-0.1597
74,LOT_A001,W001,D0001,0.81,1.46,85,78.463,0.9288,3.35,1.852,ATPG_074,SCAN_AT_SPEED,FREQ_MARGIN,-0.1963
75,LOT_A001,W001,D0001,0.81,1.48,85,79.816,0.9633,3.479,1.973,ATPG_075,SCAN_AT_SPEED,FREQ_MARGIN,-0.2086
76,LOT_A001,W001,D0001,0.81,1.5,85,81.35,0.9491,3.663,1.858,ATPG_076,SCAN_AT_SPEED,FREQ_MARGIN,-0.2429
77,LOT_A001,W001,D0001,0.81,1.52,85,79.561,0.9162,3.256,1.863,ATPG_077,SCAN_AT_SPEED,FREQ_MARGIN,-0.2642
78,LOT_A001,W001,D0001,0.81,1.54,85,82.115,0.9968,3.478,1.874,ATPG_078,SCAN_AT_SPEED,FREQ_MARGIN,-0.2664
79,LOT_A001,W001,D0001,0.81,1.56,85,83.245,0.9478,3.61,1.948,ATPG_079,SCAN_AT_SPEED,FREQ_MARGIN,-0.3053
80,LOT_A001,W001,D0001,0.81,1.58,85,80.136,1.0046,3.318,1.954,ATPG_080,SCAN_AT_SPEED,FREQ_MARGIN,-0.3175
81,LOT_A001,W001,D0001,0.81,1.6,85,83.001,0.9889,3.342,1.89,ATPG_081,SCAN_AT_SPEED,FREQ_MARGIN,-0.3578
82,LOT_A001,W001,D0001,0.81,1.62,85,83.018,0.9948,3.353,1.932,ATPG_082,SCAN_AT_SPEED,FREQ_MARGIN,-0.3379
83,LOT_A001,W001,D0001,0.81,1.64,85,83.776,0.9784,3.527,1.928,ATPG_083,SCAN_AT_SPEED,FREQ_MARGIN,-0.3563
84,LOT_A001,W001,D0001,0.81,1.66,85,89.452,1.0167,3.512,1.922,ATPG_084,SCAN_AT_SPEED,FREQ_MARGIN,-0.4026
85,LOT_A001,W001,D0001,0.81,1.68,85,90.68,1.0187,3.481,1.948,ATPG_085,SCAN_AT_SPEED,FREQ_MARGIN,-0.372
86,LOT_A001,W001,D0001,0.81,1.7,85,86.643,1.0441,3.494,1.856,ATPG_086,SCAN_AT_SPEED,FREQ_MARGIN,-0.4044
87,LOT_A001,W001,D0001,0.81,1.72,85,85.569,1.0356,3.443,1.99,ATPG_087,SCAN_AT_SPEED,FREQ_MARGIN,-0.4704
88,LOT_A001,W001,D0001,0.81,1.74,85,93.032,1.0242,3.079,1.931,ATPG_088,SCAN_AT_SPEED,FREQ_MARGIN,-0.4677
89,LOT_A001,W001,D0001,0.81,1.76,85,90.901,1.0204,3.322,1.885,ATPG_089,SCAN_AT_SPEED,FREQ_MARGIN,-0.4822
90,LOT_A001,W001,D0001,0.81,1.78,85,92.48,1.0493,3.258,1.898,ATPG_090,SCAN_AT_SPEED,FREQ_MARGIN,-0.497
91,LOT_A001,W001,D0001,0.81,1.8,85,94.399,1.0571,3.411,1.923,ATPG_091,SCAN_AT_SPEED,FREQ_MARGIN,-0.5302
92,LOT_A001,W001,D0001,0.81,1.82,85,93.347,1.0648,3.252,1.9,ATPG_092,SCAN_AT_SPEED,FREQ_MARGIN,-0.5634
93,LOT_A001,W001,D0001,0.81,1.84,85,94.463,1.0794,3.367,1.947,ATPG_093,SCAN_AT_SPEED,FREQ_MARGIN,-0.5337
94,LOT_A001,W001,D0001,0.81,1.86,85,96.366,1.1142,3.255,1.932,ATPG_094,SCAN_AT_SPEED,TIMING,-0.5931
95,LOT_A001,W001,D0001,0.81,1.88,85,91.977,1.0819,3.54,2.024,ATPG_095,SCAN_AT_SPEED,FREQ_MARGIN,-0.614
96,LOT_A001,W001,D0001,0.81,1.9,85,98.018,1.1234,3.797,2.007,ATPG_096,SCAN_AT_SPEED,TIMING,-0.6336
97,LOT_A001,W001,D0001,0.81,1.92,85,96.12,1.0975,3.366,1.935,ATPG_097,SCAN_AT_SPEED,FREQ_MARGIN,-0.6514
98,LOT_A001,W001,D0001,0.81,1.94,85,97.536,1.1155,3.588,2.004,ATPG_098,SCAN_AT_SPEED,TIMING,-0.6947
99,LOT_A001,W001,D0001,0.81,1.96,85,102.224,1.145,3.206,2.034,ATPG_099,SCAN_AT_SPEED,TIMING,-0.6892
100,LOT_A001,W001,D0001,0.81,1.98,85,98.553,1.1488,3.204,1.921,ATPG_100,SCAN_AT_SPEED,TIMING,-0.6994
101,LOT_A001,W001,D0001,0.82,1,85,61.997,0.7044,3.474,1.774,ATPG_001,SCAN_AT_SPEED,NA,0.3262
102,LOT_A001,W001,D0001,0.82,1.02,85,58.354,0.7226,3.397,1.77,ATPG_002,SCAN_AT_SPEED,NA,0.2807
103,LOT_A001,W001,D0001,0.82,1.04,85,60.19,0.7425,3.254,1.784,ATPG_003,SCAN_AT_SPEED,NA,0.2743
104,LOT_A001,W001,D0001,0.82,1.06,85,62.042,0.7378,3.405,1.841,ATPG_004,SCAN_AT_SPEED,NA,0.2631
105,LOT_A001,W001,D0001,0.82,1.08,85,62.978,0.7521,3.476,1.784,ATPG_005,SCAN_AT_SPEED,NA,0.1994
106,LOT_A001,W001,D0001,0.82,1.1,85,59.93,0.7735,3.429,1.782,ATPG_006,SCAN_AT_SPEED,NA,0.177
107,LOT_A001,W001,D0001,0.82,1.12,85,60.729,0.78,3.208,1.796,ATPG_007,SCAN_AT_SPEED,NA,0.201
108,LOT_A001,W001,D0001,0.82,1.14,85,63.031,0.7829,3.541,1.802,ATPG_008,SCAN_AT_SPEED,NA,0.1703
109,LOT_A001,W001,D0001,0.82,1.16,85,63.407,0.8079,3.606,1.73,ATPG_009,SCAN_AT_SPEED,NA,0.1645
110,LOT_A001,W001,D0001,0.82,1.18,85,67.339,0.8033,3.446,1.808,ATPG_010,SCAN_AT_SPEED,NA,0.1151
111,LOT_A001,W001,D0001,0.82,1.2,85,66.88,0.8366,3.428,1.85,ATPG_011,SCAN_AT_SPEED,NA,0.111
112,LOT_A001,W001,D0001,0.82,1.22,85,67.142,0.8164,3.449,1.823,ATPG_012,SCAN_AT_SPEED,NA,0.0821
113,LOT_A001,W001,D0001,0.82,1.24,85,72.616,0.8485,3.341,1.891,ATPG_013,SCAN_AT_SPEED,NA,0.0747
114,LOT_A001,W001,D0001,0.82,1.26,85,66.071,0.8233,3.109,1.833,ATPG_014,SCAN_AT_SPEED,NA,0.0421
115,LOT_A001,W001,D0001,0.82,1.28,85,73.618,0.8559,3.357,1.884,ATPG_015,SCAN_AT_SPEED,NA,0.0298
116,LOT_A001,W001,D0001,0.82,1.3,85,71.884,0.8725,3.168,1.9,ATPG_016,SCAN_AT_SPEED,FREQ_MARGIN,-0.0303
117,LOT_A001,W001,D0001,0.82,1.32,85,71.572,0.8786,3.731,1.865,ATPG_017,SCAN_AT_SPEED,FREQ_MARGIN,-0.0044
118,LOT_A001,W001,D0001,0.82,1.34,85,72.353,0.8605,3.515,1.827,ATPG_018,SCAN_AT_SPEED,FREQ_MARGIN,-0.0261
119,LOT_A001,W001,D0001,0.82,1.36,85,73.18,0.893,3.44,1.906,ATPG_019,SCAN_AT_SPEED,FREQ_MARGIN,-0.0492
120,LOT_A001,W001,D0001,0.82,1.38,85,74.414,0.8754,3.323,1.883,ATPG_020,SCAN_AT_SPEED,FREQ_MARGIN,-0.0797
121,LOT_A001,W001,D0001,0.82,1.4,85,74.1,0.9173,3.593,1.889,ATPG_021,SCAN_AT_SPEED,FREQ_MARGIN,-0.0769
122,LOT_A001,W001,D0001,0.82,1.42,85,75.227,0.8878,3.123,1.935,ATPG_022,SCAN_AT_SPEED,FREQ_MARGIN,-0.0767
123,LOT_A001,W001,D0001,0.82,1.44,85,77.38,0.9238,3.221,1.977,ATPG_023,SCAN_AT_SPEED,FREQ_MARGIN,-0.1187
124,LOT_A001,W001,D0001,0.82,1.46,85,78.537,0.9405,3.462,1.892,ATPG_024,SCAN_AT_SPEED,FREQ_MARGIN,-0.1482
125,LOT_A001,W001,D0001,0.82,1.48,85,80.049,0.9699,3.592,1.95,ATPG_025,SCAN_AT_SPEED,FREQ_MARGIN,-0.1847
126,LOT_A001,W001,D0001,0.82,1.5,85,78.279,0.9423,3.398,1.934,ATPG_026,SCAN_AT_SPEED,FREQ_MARGIN,-0.1997
127,LOT_A001,W001,D0001,0.82,1.52,85,83.673,0.9504,3.326,1.853,ATPG_027,SCAN_AT_SPEED,FREQ_MARGIN,-0.241
128,LOT_A001,W001,D0001,0.82,1.54,85,83.262,0.9631,3.197,1.845,ATPG_028,SCAN_AT_SPEED,FREQ_MARGIN,-0.2603
129,LOT_A001,W001,D0001,0.82,1.56,85,85.644,0.9657,3.165,1.891,ATPG_029,SCAN_AT_SPEED,FREQ_MARGIN,-0.2566
130,LOT_A001,W001,D0001,0.82,1.58,85,78.646,0.978,3.355,1.932,ATPG_030,SCAN_AT_SPEED,FREQ_MARGIN,-0.2754
131,LOT_A001,W001,D0001,0.82,1.6,85,86.388,0.9828,3.224,2.011,ATPG_031,SCAN_AT_SPEED,FREQ_MARGIN,-0.2572
132,LOT_A001,W001,D0001,0.82,1.62,85,85.245,0.9958,3.42,1.906,ATPG_032,SCAN_AT_SPEED,FREQ_MARGIN,-0.3095
133,LOT_A001,W001,D0001,0.82,1.64,85,85.096,1.0042,3.308,1.887,ATPG_033,SCAN_AT_SPEED,FREQ_MARGIN,-0.3408
134,LOT_A001,W001,D0001,0.82,1.66,85,86.481,1.0405,2.992,1.962,ATPG_034,SCAN_AT_SPEED,FREQ_MARGIN,-0.3486
135,LOT_A001,W001,D0001,0.82,1.68,85,84.068,1.0158,3.334,1.866,ATPG_035,SCAN_AT_SPEED,FREQ_MARGIN,-0.3481
136,LOT_A001,W001,D0001,0.82,1.7,85,86.661,1.0621,3.53,1.977,ATPG_036,SCAN_AT_SPEED,FREQ_MARGIN,-0.4045
137,LOT_A001,W001,D0001,0.82,1.72,85,87.488,1.0298,3.463,1.881,ATPG_037,SCAN_AT_SPEED,FREQ_MARGIN,-0.3975
138,LOT_A001,W001,D0001,0.82,1.74,85,89.947,1.0411,3.497,1.951,ATPG_038,SCAN_AT_SPEED,FREQ_MARGIN,-0.4177
139,LOT_A001,W001,D0001,0.82,1.76,85,93.327,1.0369,3.482,1.961,ATPG_039,SCAN_AT_SPEED,FREQ_MARGIN,-0.457
140,LOT_A001,W001,D0001,0.82,1.78,85,92.687,1.0425,3.529,1.933,ATPG_040,SCAN_AT_SPEED,FREQ_MARGIN,-0.4761
141,LOT_A001,W001,D0001,0.82,1.8,85,94.848,1.0609,3.179,1.882,ATPG_041,SCAN_AT_SPEED,FREQ_MARGIN,-0.4999
142,LOT_A001,W001,D0001,0.82,1.82,85,91.515,1.1138,3.078,2.015,ATPG_042,SCAN_AT_SPEED,TIMING,-0.4996
143,LOT_A001,W001,D0001,0.82,1.84,85,94.506,1.081,3.45,1.95,ATPG_043,SCAN_AT_SPEED,FREQ_MARGIN,-0.5267
144,LOT_A001,W001,D0001,0.82,1.86,85,95.746,1.1021,3.335,1.953,ATPG_044,SCAN_AT_SPEED,TIMING,-0.5307
145,LOT_A001,W001,D0001,0.82,1.88,85,93.322,1.0837,3.501,1.965,ATPG_045,SCAN_AT_SPEED,FREQ_MARGIN,-0.565
146,LOT_A001,W001,D0001,0.82,1.9,85,97.293,1.1229,3.309,1.931,ATPG_046,SCAN_AT_SPEED,TIMING,-0.5938
147,LOT_A001,W001,D0001,0.82,1.92,85,96.359,1.1325,3.135,2.007,ATPG_047,SCAN_AT_SPEED,TIMING,-0.607
148,LOT_A001,W001,D0001,0.82,1.94,85,99.441,1.1515,3.64,2.01,ATPG_048,SCAN_AT_SPEED,TIMING,-0.622
149,LOT_A001,W001,D0001,0.82,1.96,85,97.537,1.1312,3.394,1.994,ATPG_049,SCAN_AT_SPEED,TIMING,-0.6837
150,LOT_A001,W001,D0001,0.82,1.98,85,101.036,1.1374,3.298,1.92,ATPG_050,SCAN_AT_SPEED,TIMING,-0.6836
151,LOT_A001,W001,D0001,0.83,1,85,56.407,0.7108,3.603,1.762,ATPG_051,SCAN_AT_SPEED,NA,0.3311
152,LOT_A001,W001,D0001,0.83,1.02,85,60.588,0.7403,3.316,1.832,ATPG_052,SCAN_AT_SPEED,NA,0.3751
153,LOT_A001,W001,D0001,0.83,1.04,85,60.78,0.7917,3.431,1.853,ATPG_053,SCAN_AT_SPEED,NA,0.2973
154,LOT_A001,W001,D0001,0.83,1.06,85,61.357,0.7861,3.351,1.883,ATPG_054,SCAN_AT_SPEED,NA,0.275
155,LOT_A001,W001,D0001,0.83,1.08,85,61.268,0.7742,3.591,1.839,ATPG_055,SCAN_AT_SPEED,NA,0.2804
156,LOT_A001,W001,D0001,0.83,1.1,85,61.831,0.7669,3.434,1.843,ATPG_056,SCAN_AT_SPEED,NA,0.2194
157,LOT_A001,W001,D0001,0.83,1.12,85,61.596,0.7868,3.537,1.844,ATPG_057,SCAN_AT_SPEED,NA,0.2309
158,LOT_A001,W001,D0001,0.83,1.14,85,66.361,0.7969,3.434,1.759,ATPG_058,SCAN_AT_SPEED,NA,0.2271
159,LOT_A001,W001,D0001,0.83,1.16,85,66.094,0.8021,3.253,1.786,ATPG_059,SCAN_AT_SPEED,NA,0.1954
160,LOT_A001,W001,D0001,0.83,1.18,85,66.509,0.8181,3.449,1.834,ATPG_060,SCAN_AT_SPEED,NA,0.1866
161,LOT_A001,W001,D0001,0.83,1.2,85,66.511,0.8161,3.376,1.819,ATPG_061,SCAN_AT_SPEED,NA,0.1646
162,LOT_A001,W001,D0001,0.83,1.22,85,68.7,0.8144,3.633,1.804,ATPG_062,SCAN_AT_SPEED,NA,0.1221
163,LOT_A001,W001,D0001,0.83,1.24,85,68.368,0.8576,3.474,1.884,ATPG_063,SCAN_AT_SPEED,NA,0.1043
164,LOT_A001,W001,D0001,0.83,1.26,85,70.501,0.8562,3.457,1.889,ATPG_064,SCAN_AT_SPEED,NA,0.0609
165,LOT_A001,W001,D0001,0.83,1.28,85,73.417,0.8902,3.391,1.833,ATPG_065,SCAN_AT_SPEED,NA,0.0584
166,LOT_A001,W001,D0001,0.83,1.3,85,74.583,0.848,3.382,1.843,ATPG_066,SCAN_AT_SPEED,NA,0.0738
167,LOT_A001,W001,D0001,0.83,1.32,85,70.946,0.8479,3.33,1.856,ATPG_067,SCAN_AT_SPEED,NA,0.0035
168,LOT_A001,W001,D0001,0.83,1.34,85,76.251,0.8566,3.593,1.853,ATPG_068,SCAN_AT_SPEED,NA,0.0119
169,LOT_A001,W001,D0001,0.83,1.36,85,75.535,0.863,3.502,1.871,ATPG_069,SCAN_AT_SPEED,FREQ_MARGIN,-0.0132
170,LOT_A001,W001,D0001,0.83,1.38,85,75.701,0.936,3.349,1.847,ATPG_070,SCAN_AT_SPEED,FREQ_MARGIN,-0.0235
171,LOT_A001,W001,D0001,0.83,1.4,85,75.04,0.8889,3.623,1.929,ATPG_071,SCAN_AT_SPEED,FREQ_MARGIN,-0.0635
172,LOT_A001,W001,D0001,0.83,1.42,85,75.402,0.9175,3.362,1.901,ATPG_072,SCAN_AT_SPEED,FREQ_MARGIN,-0.0826
173,LOT_A001,W001,D0001,0.83,1.44,85,75.032,0.9455,3.714,1.855,ATPG_073,SCAN_AT_SPEED,FREQ_MARGIN,-0.0887
174,LOT_A001,W001,D0001,0.83,1.46,85,79.135,0.9322,3.544,1.963,ATPG_074,SCAN_AT_SPEED,FREQ_MARGIN,-0.1193
175,LOT_A001,W001,D0001,0.83,1.48,85,78.043,0.91,3.335,1.885,ATPG_075,SCAN_AT_SPEED,FREQ_MARGIN,-0.1355
176,LOT_A001,W001,D0001,0.83,1.5,85,79.408,0.9474,3.443,1.938,ATPG_076,SCAN_AT_SPEED,FREQ_MARGIN,-0.12
177,LOT_A001,W001,D0001,0.83,1.52,85,80.244,0.9432,3.602,1.921,ATPG_077,SCAN_AT_SPEED,FREQ_MARGIN,-0.1268
178,LOT_A001,W001,D0001,0.83,1.54,85,83.111,0.9541,3.534,1.942,ATPG_078,SCAN_AT_SPEED,FREQ_MARGIN,-0.1591
179,LOT_A001,W001,D0001,0.83,1.56,85,83.833,0.9884,3.62,1.956,ATPG_079,SCAN_AT_SPEED,FREQ_MARGIN,-0.1976
180,LOT_A001,W001,D0001,0.83,1.58,85,83.479,0.9804,3.626,1.872,ATPG_080,SCAN_AT_SPEED,FREQ_MARGIN,-0.2206
