Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Pattern_ID,Timing_ns,Temperature_C
38,LOT_ATPG10,W01,D0001,0.79,1.87,FAIL,TIMING,PAT_SCAN_007,0.577,25
39,LOT_ATPG10,W01,D0001,0.79,1.94,FAIL,FREQ_MARGIN,PAT_SCAN_009,0.516,25
40,LOT_ATPG10,W01,D0001,0.79,2.0,FAIL,FREQ_MARGIN,PAT_SCAN_004,0.48,25
41,LOT_ATPG10,W01,D0001,0.84,0.8,PASS,NA,PAT_SCAN_002,1.264,25
42,LOT_ATPG10,W01,D0001,0.84,0.86,PASS,NA,PAT_SCAN_007,1.159,25
43,LOT_ATPG10,W01,D0001,0.84,0.93,PASS,NA,PAT_SCAN_002,1.074,25
44,LOT_ATPG10,W01,D0001,0.84,0.99,PASS,NA,PAT_SCAN_004,1.007,25
45,LOT_ATPG10,W01,D0001,0.84,1.05,PASS,NA,PAT_SCAN_008,0.951,25
46,LOT_ATPG10,W01,D0001,0.84,1.12,PASS,NA,PAT_SCAN_005,0.893,25
47,LOT_ATPG10,W01,D0001,0.84,1.18,PASS,NA,PAT_SCAN_005,0.831,25
48,LOT_ATPG10,W01,D0001,0.84,1.24,PASS,NA,PAT_SCAN_009,0.816,25
49,LOT_ATPG10,W01,D0001,0.84,1.31,PASS,NA,PAT_SCAN_009,0.749,25
50,LOT_ATPG10,W01,D0001,0.84,1.37,PASS,NA,PAT_SCAN_009,0.706,25
51,LOT_ATPG10,W01,D0001,0.84,1.43,PASS,NA,PAT_SCAN_007,0.708,25
52,LOT_ATPG10,W01,D0001,0.84,1.49,PASS,NA,PAT_SCAN_008,0.665,25
53,LOT_ATPG10,W01,D0001,0.84,1.56,PASS,NA,PAT_SCAN_010,0.664,25
54,LOT_ATPG10,W01,D0001,0.84,1.62,PASS,NA,PAT_SCAN_002,0.621,25
55,LOT_ATPG10,W01,D0001,0.84,1.68,PASS,NA,PAT_SCAN_008,0.591,25
56,LOT_ATPG10,W01,D0001,0.84,1.75,PASS,NA,PAT_SCAN_002,0.592,25
57,LOT_ATPG10,W01,D0001,0.84,1.81,PASS,NA,PAT_SCAN_004,0.595,25
58,LOT_ATPG10,W01,D0001,0.84,1.87,PASS,NA,PAT_SCAN_006,0.563,25
59,LOT_ATPG10,W01,D0001,0.84,1.94,FAIL,FREQ_MARGIN,PAT_SCAN_002,0.515,25
60,LOT_ATPG10,W01,D0001,0.84,2.0,FAIL,TIMING,PAT_SCAN_003,0.501,25
61,LOT_ATPG10,W01,D0001,0.88,0.8,PASS,NA,PAT_SCAN_007,1.259,25
62,LOT_ATPG10,W01,D0001,0.88,0.86,PASS,NA,PAT_SCAN_009,1.131,25
63,LOT_ATPG10,W01,D0001,0.88,0.93,PASS,NA,PAT_SCAN_004,1.061,25
64,LOT_ATPG10,W01,D0001,0.88,0.99,PASS,NA,PAT_SCAN_008,1.02,25
65,LOT_ATPG10,W01,D0001,0.88,1.05,PASS,NA,PAT_SCAN_010,0.95,25
66,LOT_ATPG10,W01,D0001,0.88,1.12,PASS,NA,PAT_SCAN_007,0.877,25
67,LOT_ATPG10,W01,D0001,0.88,1.18,PASS,NA,PAT_SCAN_001,0.847,25
68,LOT_ATPG10,W01,D0001,0.88,1.24,PASS,NA,PAT_SCAN_003,0.791,25
69,LOT_ATPG10,W01,D0001,0.88,1.31,PASS,NA,PAT_SCAN_005,0.787,25
70,LOT_ATPG10,W01,D0001,0.88,1.37,PASS,NA,PAT_SCAN_008,0.721,25
71,LOT_ATPG10,W01,D0001,0.88,1.43,PASS,NA,PAT_SCAN_003,0.721,25
72,LOT_ATPG10,W01,D0001,0.88,1.49,PASS,NA,PAT_SCAN_010,0.646,25
73,LOT_ATPG10,W01,D0001,0.88,1.56,PASS,NA,PAT_SCAN_002,0.656,25
74,LOT_ATPG10,W01,D0001,0.88,1.62,PASS,NA,PAT_SCAN_009,0.624,25
75,LOT_ATPG10,W01,D0001,0.88,1.68,PASS,NA,PAT_SCAN_006,0.557,25
76,LOT_ATPG10,W01,D0001,0.88,1.75,PASS,NA,PAT_SCAN_004,0.535,25
77,LOT_ATPG10,W01,D0001,0.88,1.81,PASS,NA,PAT_SCAN_002,0.536,25
78,LOT_ATPG10,W01,D0001,0.88,1.87,PASS,NA,PAT_SCAN_008,0.537,25
79,LOT_ATPG10,W01,D0001,0.88,1.94,PASS,NA,PAT_SCAN_003,0.505,25
80,LOT_ATPG10,W01,D0001,0.88,2.0,PASS,NA,PAT_SCAN_009,0.521,25
81,LOT_ATPG10,W01,D0001,0.93,0.8,PASS,NA,PAT_SCAN_010,1.259,25
82,LOT_ATPG10,W01,D0001,0.93,0.86,PASS,NA,PAT_SCAN_006,1.194,25
83,LOT_ATPG10,W01,D0001,0.93,0.93,PASS,NA,PAT_SCAN_010,1.07,25
84,LOT_ATPG10,W01,D0001,0.93,0.99,PASS,NA,PAT_SCAN_008,0.989,25
85,LOT_ATPG10,W01,D0001,0.93,1.05,PASS,NA,PAT_SCAN_006,0.903,25
86,LOT_ATPG10,W01,D0001,0.93,1.12,PASS,NA,PAT_SCAN_002,0.827,25
87,LOT_ATPG10,W01,D0001,0.93,1.18,PASS,NA,PAT_SCAN_001,0.856,25
88,LOT_ATPG10,W01,D0001,0.93,1.24,PASS,NA,PAT_SCAN_006,0.826,25
89,LOT_ATPG10,W01,D0001,0.93,1.31,PASS,NA,PAT_SCAN_005,0.777,25
90,LOT_ATPG10,W01,D0001,0.93,1.37,PASS,NA,PAT_SCAN_003,0.712,25
91,LOT_ATPG10,W01,D0001,0.93,1.43,PASS,NA,PAT_SCAN_003,0.706,25
92,LOT_ATPG10,W01,D0001,0.93,1.49,PASS,NA,PAT_SCAN_007,0.695,25
93,LOT_ATPG10,W01,D0001,0.93,1.56,PASS,NA,PAT_SCAN_002,0.637,25
94,LOT_ATPG10,W01,D0001,0.93,1.62,PASS,NA,PAT_SCAN_007,0.651,25
95,LOT_ATPG10,W01,D0001,0.93,1.68,PASS,NA,PAT_SCAN_006,0.625,25
96,LOT_ATPG10,W01,D0001,0.93,1.75,PASS,NA,PAT_SCAN_008,0.582,25
97,LOT_ATPG10,W01,D0001,0.93,1.81,PASS,NA,PAT_SCAN_008,0.548,25
98,LOT_ATPG10,W01,D0001,0.93,1.87,PASS,NA,PAT_SCAN_004,0.545,25
99,LOT_ATPG10,W01,D0001,0.93,1.94,PASS,NA,PAT_SCAN_006,0.495,25
100,LOT_ATPG10,W01,D0001,0.93,2.0,PASS,NA,PAT_SCAN_004,0.489,25
101,LOT_ATPG10,W01,D0001,0.97,0.8,PASS,NA,PAT_SCAN_010,1.242,25
102,LOT_ATPG10,W01,D0001,0.97,0.86,PASS,NA,PAT_SCAN_002,1.19,25
103,LOT_ATPG10,W01,D0001,0.97,0.93,PASS,NA,PAT_SCAN_006,1.093,25
104,LOT_ATPG10,W01,D0001,0.97,0.99,PASS,NA,PAT_SCAN_004,1.001,25
105,LOT_ATPG10,W01,D0001,0.97,1.05,PASS,NA,PAT_SCAN_001,0.926,25
106,LOT_ATPG10,W01,D0001,0.97,1.12,PASS,NA,PAT_SCAN_006,0.893,25
107,LOT_ATPG10,W01,D0001,0.97,1.18,PASS,NA,PAT_SCAN_002,0.818,25
108,LOT_ATPG10,W01,D0001,0.97,1.24,PASS,NA,PAT_SCAN_006,0.827,25
109,LOT_ATPG10,W01,D0001,0.97,1.31,PASS,NA,PAT_SCAN_010,0.752,25
110,LOT_ATPG10,W01,D0001,0.97,1.37,PASS,NA,PAT_SCAN_007,0.729,25
111,LOT_ATPG10,W01,D0001,0.97,1.43,PASS,NA,PAT_SCAN_005,0.698,25
112,LOT_ATPG10,W01,D0001,0.97,1.49,PASS,NA,PAT_SCAN_007,0.669,25
113,LOT_ATPG10,W01,D0001,0.97,1.56,PASS,NA,PAT_SCAN_001,0.692,25
114,LOT_ATPG10,W01,D0001,0.97,1.62,PASS,NA,PAT_SCAN_009,0.644,25
115,LOT_ATPG10,W01,D0001,0.97,1.68,PASS,NA,PAT_SCAN_006,0.548,25
116,LOT_ATPG10,W01,D0001,0.97,1.75,PASS,NA,PAT_SCAN_003,0.619,25
117,LOT_ATPG10,W01,D0001,0.97,1.81,PASS,NA,PAT_SCAN_001,0.564,25
118,LOT_ATPG10,W01,D0001,0.97,1.87,PASS,NA,PAT_SCAN_004,0.506,25
119,LOT_ATPG10,W01,D0001,0.97,1.94,PASS,NA,PAT_SCAN_010,0.549,25
120,LOT_ATPG10,W01,D0001,0.97,2.0,PASS,NA,PAT_SCAN_006,0.513,25
121,LOT_ATPG10,W01,D0001,1.02,0.8,PASS,NA,PAT_SCAN_005,1.272,25
122,LOT_ATPG10,W01,D0001,1.02,0.86,PASS,NA,PAT_SCAN_009,1.122,25
123,LOT_ATPG10,W01,D0001,1.02,0.93,PASS,NA,PAT_SCAN_009,1.113,25
124,LOT_ATPG10,W01,D0001,1.02,0.99,PASS,NA,PAT_SCAN_004,1.032,25
125,LOT_ATPG10,W01,D0001,1.02,1.05,PASS,NA,PAT_SCAN_001,0.935,25
126,LOT_ATPG10,W01,D0001,1.02,1.12,PASS,NA,PAT_SCAN_010,0.865,25
127,LOT_ATPG10,W01,D0001,1.02,1.18,PASS,NA,PAT_SCAN_004,0.846,25
128,LOT_ATPG10,W01,D0001,1.02,1.24,PASS,NA,PAT_SCAN_001,0.781,25
129,LOT_ATPG10,W01,D0001,1.02,1.31,PASS,NA,PAT_SCAN_010,0.728,25
130,LOT_ATPG10,W01,D0001,1.02,1.37,PASS,NA,PAT_SCAN_009,0.719,25
131,LOT_ATPG10,W01,D0001,1.02,1.43,PASS,NA,PAT_SCAN_009,0.707,25
132,LOT_ATPG10,W01,D0001,1.02,1.49,PASS,NA,PAT_SCAN_008,0.674,25
133,LOT_ATPG10,W01,D0001,1.02,1.56,PASS,NA,PAT_SCAN_010,0.649,25
134,LOT_ATPG10,W01,D0001,1.02,1.62,PASS,NA,PAT_SCAN_010,0.631,25
135,LOT_ATPG10,W01,D0001,1.02,1.68,PASS,NA,PAT_SCAN_006,0.588,25
136,LOT_ATPG10,W01,D0001,1.02,1.75,PASS,NA,PAT_SCAN_003,0.589,25
137,LOT_ATPG10,W01,D0001,1.02,1.81,PASS,NA,PAT_SCAN_003,0.558,25
138,LOT_ATPG10,W01,D0001,1.02,1.87,PASS,NA,PAT_SCAN_007,0.54,25
139,LOT_ATPG10,W01,D0001,1.02,1.94,PASS,NA,PAT_SCAN_003,0.522,25
140,LOT_ATPG10,W01,D0001,1.02,2.0,PASS,NA,PAT_SCAN_009,0.465,25
141,LOT_ATPG10,W01,D0001,1.06,0.8,PASS,NA,PAT_SCAN_001,1.211,25
142,LOT_ATPG10,W01,D0001,1.06,0.86,PASS,NA,PAT_SCAN_010,1.182,25
143,LOT_ATPG10,W01,D0001,1.06,0.93,PASS,NA,PAT_SCAN_003,1.102,25
144,LOT_ATPG10,W01,D0001,1.06,0.99,PASS,NA,PAT_SCAN_002,0.992,25
145,LOT_ATPG10,W01,D0001,1.06,1.05,PASS,NA,PAT_SCAN_005,0.99,25
146,LOT_ATPG10,W01,D0001,1.06,1.12,PASS,NA,PAT_SCAN_008,0.91,25
147,LOT_ATPG10,W01,D0001,1.06,1.18,PASS,NA,PAT_SCAN_005,0.862,25
148,LOT_ATPG10,W01,D0001,1.06,1.24,PASS,NA,PAT_SCAN_001,0.805,25
149,LOT_ATPG10,W01,D0001,1.06,1.31,PASS,NA,PAT_SCAN_003,0.764,25
150,LOT_ATPG10,W01,D0001,1.06,1.37,PASS,NA,PAT_SCAN_004,0.789,25
151,LOT_ATPG10,W01,D0001,1.06,1.43,PASS,NA,PAT_SCAN_008,0.715,25
152,LOT_ATPG10,W01,D0001,1.06,1.49,PASS,NA,PAT_SCAN_009,0.67,25
153,LOT_ATPG10,W01,D0001,1.06,1.56,PASS,NA,PAT_SCAN_007,0.654,25
154,LOT_ATPG10,W01,D0001,1.06,1.62,PASS,NA,PAT_SCAN_006,0.625,25
155,LOT_ATPG10,W01,D0001,1.06,1.68,PASS,NA,PAT_SCAN_004,0.584,25
156,LOT_ATPG10,W01,D0001,1.06,1.75,PASS,NA,PAT_SCAN_004,0.571,25
157,LOT_ATPG10,W01,D0001,1.06,1.81,PASS,NA,PAT_SCAN_010,0.604,25
158,LOT_ATPG10,W01,D0001,1.06,1.87,PASS,NA,PAT_SCAN_002,0.549,25
159,LOT_ATPG10,W01,D0001,1.06,1.94,PASS,NA,PAT_SCAN_005,0.492,25
160,LOT_ATPG10,W01,D0001,1.06,2.0,PASS,NA,PAT_SCAN_005,0.468,25
161,LOT_ATPG10,W01,D0001,1.11,0.8,PASS,NA,PAT_SCAN_009,1.245,25
162,LOT_ATPG10,W01,D0001,1.11,0.86,PASS,NA,PAT_SCAN_008,1.177,25
163,LOT_ATPG10,W01,D0001,1.11,0.93,PASS,NA,PAT_SCAN_005,1.039,25
164,LOT_ATPG10,W01,D0001,1.11,0.99,PASS,NA,PAT_SCAN_005,1.007,25
165,LOT_ATPG10,W01,D0001,1.11,1.05,PASS,NA,PAT_SCAN_001,0.981,25
166,LOT_ATPG10,W01,D0001,1.11,1.12,PASS,NA,PAT_SCAN_007,0.884,25
167,LOT_ATPG10,W01,D0001,1.11,1.18,PASS,NA,PAT_SCAN_004,0.858,25
168,LOT_ATPG10,W01,D0001,1.11,1.24,PASS,NA,PAT_SCAN_008,0.822,25
169,LOT_ATPG10,W01,D0001,1.11,1.31,PASS,NA,PAT_SCAN_003,0.747,25
170,LOT_ATPG10,W01,D0001,1.11,1.37,PASS,NA,PAT_SCAN_008,0.754,25
171,LOT_ATPG10,W01,D0001,1.11,1.43,PASS,NA,PAT_SCAN_009,0.685,25
172,LOT_ATPG10,W01,D0001,1.11,1.49,PASS,NA,PAT_SCAN_005,0.674,25
173,LOT_ATPG10,W01,D0001,1.11,1.56,PASS,NA,PAT_SCAN_005,0.647,25
174,LOT_ATPG10,W01,D0001,1.11,1.62,PASS,NA,PAT_SCAN_010,0.677,25
175,LOT_ATPG10,W01,D0001,1.11,1.68,PASS,NA,PAT_SCAN_005,0.619,25
176,LOT_ATPG10,W01,D0001,1.11,1.75,PASS,NA,PAT_SCAN_010,0.607,25
177,LOT_ATPG10,W01,D0001,1.11,1.81,PASS,NA,PAT_SCAN_006,0.556,25
178,LOT_ATPG10,W01,D0001,1.11,1.87,PASS,NA,PAT_SCAN_010,0.551,25
179,LOT_ATPG10,W01,D0001,1.11,1.94,PASS,NA,PAT_SCAN_005,0.502,25
180,LOT_ATPG10,W01,D0001,1.11,2.0,PASS,NA,PAT_SCAN_005,0.512,25
181,LOT_ATPG10,W01,D0001,1.15,0.8,PASS,NA,PAT_SCAN_006,1.257,25
182,LOT_ATPG10,W01,D0001,1.15,0.86,PASS,NA,PAT_SCAN_007,1.174,25
183,LOT_ATPG10,W01,D0001,1.15,0.93,PASS,NA,PAT_SCAN_003,1.099,25
184,LOT_ATPG10,W01,D0001,1.15,0.99,PASS,NA,PAT_SCAN_004,1.024,25
185,LOT_ATPG10,W01,D0001,1.15,1.05,PASS,NA,PAT_SCAN_003,0.901,25
186,LOT_ATPG10,W01,D0001,1.15,1.12,PASS,NA,PAT_SCAN_007,0.904,25
187,LOT_ATPG10,W01,D0001,1.15,1.18,PASS,NA,PAT_SCAN_009,0.853,25
188,LOT_ATPG10,W01,D0001,1.15,1.24,PASS,NA,PAT_SCAN_007,0.789,25
189,LOT_ATPG10,W01,D0001,1.15,1.31,PASS,NA,PAT_SCAN_006,0.757,25
190,LOT_ATPG10,W01,D0001,1.15,1.37,PASS,NA,PAT_SCAN_010,0.711,25
191,LOT_ATPG10,W01,D0001,1.15,1.43,PASS,NA,PAT_SCAN_001,0.692,25
192,LOT_ATPG10,W01,D0001,1.15,1.49,PASS,NA,PAT_SCAN_007,0.644,25
193,LOT_ATPG10,W01,D0001,1.15,1.56,PASS,NA,PAT_SCAN_007,0.606,25
194,LOT_ATPG10,W01,D0001,1.15,1.62,PASS,NA,PAT_SCAN_001,0.61,25
195,LOT_ATPG10,W01,D0001,1.15,1.68,PASS,NA,PAT_SCAN_002,0.607,25
196,LOT_ATPG10,W01,D0001,1.15,1.75,PASS,NA,PAT_SCAN_006,0.566,25
197,LOT_ATPG10,W01,D0001,1.15,1.81,PASS,NA,PAT_SCAN_005,0.496,25
198,LOT_ATPG10,W01,D0001,1.15,1.87,PASS,NA,PAT_SCAN_003,0.518,25
199,LOT_ATPG10,W01,D0001,1.15,1.94,PASS,NA,PAT_SCAN_004,0.5,25
200,LOT_ATPG10,W01,D0001,1.15,2.0,PASS,NA,PAT_SCAN_003,0.453,25
201,LOT_ATPG10,W01,D0002,0.75,0.8,PASS,NA,PAT_SCAN_007,1.277,25
202,LOT_ATPG10,W01,D0002,0.75,0.86,PASS,NA,PAT_SCAN_010,1.131,25
203,LOT_ATPG10,W01,D0002,0.75,0.93,PASS,NA,PAT_SCAN_005,1.071,25
204,LOT_ATPG10,W01,D0002,0.75,0.99,PASS,NA,PAT_SCAN_007,1.021,25
205,LOT_ATPG10,W01,D0002,0.75,1.05,PASS,NA,PAT_SCAN_006,0.956,25
206,LOT_ATPG10,W01,D0002,0.75,1.12,PASS,NA,PAT_SCAN_002,0.891,25
207,LOT_ATPG10,W01,D0002,0.75,1.18,PASS,NA,PAT_SCAN_004,0.847,25
208,LOT_ATPG10,W01,D0002,0.75,1.24,PASS,NA,PAT_SCAN_008,0.81,25
209,LOT_ATPG10,W01,D0002,0.75,1.31,PASS,NA,PAT_SCAN_007,0.733,25
210,LOT_ATPG10,W01,D0002,0.75,1.37,PASS,NA,PAT_SCAN_002,0.718,25
211,LOT_ATPG10,W01,D0002,0.75,1.43,PASS,NA,PAT_SCAN_002,0.686,25
212,LOT_ATPG10,W01,D0002,0.75,1.49,FAIL,FREQ_MARGIN,PAT_SCAN_010,0.679,25
213,LOT_ATPG10,W01,D0002,0.75,1.56,FAIL,FREQ_MARGIN,PAT_SCAN_001,0.622,25
214,LOT_ATPG10,W01,D0002,0.75,1.62,FAIL,FREQ_MARGIN,PAT_SCAN_004,0.658,25
215,LOT_ATPG10,W01,D0002,0.75,1.68,FAIL,FREQ_MARGIN,PAT_SCAN_009,0.614,25
216,LOT_ATPG10,W01,D0002,0.75,1.75,FAIL,FREQ_MARGIN,PAT_SCAN_008,0.565,25
217,LOT_ATPG10,W01,D0002,0.75,1.81,FAIL,TIMING,PAT_SCAN_003,0.544,25
218,LOT_ATPG10,W01,D0002,0.75,1.87,FAIL,FREQ_MARGIN,PAT_SCAN_009,0.548,25
219,LOT_ATPG10,W01,D0002,0.75,1.94,FAIL,FREQ_MARGIN,PAT_SCAN_010,0.51,25
220,LOT_ATPG10,W01,D0002,0.75,2.0,FAIL,FREQ_MARGIN,PAT_SCAN_006,0.515,25
221,LOT_ATPG10,W01,D0002,0.79,0.8,PASS,NA,PAT_SCAN_002,1.258,25
222,LOT_ATPG10,W01,D0002,0.79,0.86,PASS,NA,PAT_SCAN_007,1.167,25
223,LOT_ATPG10,W01,D0002,0.79,0.93,PASS,NA,PAT_SCAN_006,1.09,25
224,LOT_ATPG10,W01,D0002,0.79,0.99,PASS,NA,PAT_SCAN_004,0.966,25
225,LOT_ATPG10,W01,D0002,0.79,1.05,PASS,NA,PAT_SCAN_003,0.967,25
226,LOT_ATPG10,W01,D0002,0.79,1.12,PASS,NA,PAT_SCAN_008,0.878,25
227,LOT_ATPG10,W01,D0002,0.79,1.18,PASS,NA,PAT_SCAN_006,0.835,25
228,LOT_ATPG10,W01,D0002,0.79,1.24,PASS,NA,PAT_SCAN_004,0.777,25
229,LOT_ATPG10,W01,D0002,0.79,1.31,PASS,NA,PAT_SCAN_008,0.721,25
230,LOT_ATPG10,W01,D0002,0.79,1.37,PASS,NA,PAT_SCAN_003,0.747,25
231,LOT_ATPG10,W01,D0002,0.79,1.43,PASS,NA,PAT_SCAN_006,0.701,25
232,LOT_ATPG10,W01,D0002,0.79,1.49,PASS,NA,PAT_SCAN_009,0.688,25
233,LOT_ATPG10,W01,D0002,0.79,1.56,PASS,NA,PAT_SCAN_002,0.652,25
234,LOT_ATPG10,W01,D0002,0.79,1.62,FAIL,FREQ_MARGIN,PAT_SCAN_001,0.619,25
235,LOT_ATPG10,W01,D0002,0.79,1.68,FAIL,TIMING,PAT_SCAN_007,0.604,25
236,LOT_ATPG10,W01,D0002,0.79,1.75,FAIL,TIMING,PAT_SCAN_003,0.619,25
237,LOT_ATPG10,W01,D0002,0.79,1.81,FAIL,FREQ_MARGIN,PAT_SCAN_002,0.538,25
238,LOT_ATPG10,W01,D0002,0.79,1.87,FAIL,TIMING,PAT_SCAN_007,0.558,25
239,LOT_ATPG10,W01,D0002,0.79,1.94,FAIL,TIMING,PAT_SCAN_007,0.546,25
240,LOT_ATPG10,W01,D0002,0.79,2.0,FAIL,TIMING,PAT_SCAN_007,0.489,25
241,LOT_ATPG10,W01,D0002,0.84,0.8,PASS,NA,PAT_SCAN_008,1.271,25
242,LOT_ATPG10,W01,D0002,0.84,0.86,PASS,NA,PAT_SCAN_007,1.156,25
243,LOT_ATPG10,W01,D0002,0.84,0.93,PASS,NA,PAT_SCAN_002,1.02,25
244,LOT_ATPG10,W01,D0002,0.84,0.99,PASS,NA,PAT_SCAN_004,1.007,25
245,LOT_ATPG10,W01,D0002,0.84,1.05,PASS,NA,PAT_SCAN_009,0.953,25
246,LOT_ATPG10,W01,D0002,0.84,1.12,PASS,NA,PAT_SCAN_001,0.91,25
247,LOT_ATPG10,W01,D0002,0.84,1.18,PASS,NA,PAT_SCAN_004,0.856,25
248,LOT_ATPG10,W01,D0002,0.84,1.24,PASS,NA,PAT_SCAN_008,0.817,25
249,LOT_ATPG10,W01,D0002,0.84,1.31,PASS,NA,PAT_SCAN_006,0.749,25
250,LOT_ATPG10,W01,D0002,0.84,1.37,PASS,NA,PAT_SCAN_005,0.751,25
251,LOT_ATPG10,W01,D0002,0.84,1.43,PASS,NA,PAT_SCAN_009,0.686,25
252,LOT_ATPG10,W01,D0002,0.84,1.49,PASS,NA,PAT_SCAN_009,0.649,25
253,LOT_ATPG10,W01,D0002,0.84,1.56,PASS,NA,PAT_SCAN_002,0.66,25
254,LOT_ATPG10,W01,D0002,0.84,1.62,PASS,NA,PAT_SCAN_002,0.603,25
255,LOT_ATPG10,W01,D0002,0.84,1.68,PASS,NA,PAT_SCAN_009,0.584,25
256,LOT_ATPG10,W01,D0002,0.84,1.75,PASS,NA,PAT_SCAN_001,0.575,25
257,LOT_ATPG10,W01,D0002,0.84,1.81,FAIL,FREQ_MARGIN,PAT_SCAN_008,0.559,25
258,LOT_ATPG10,W01,D0002,0.84,1.87,FAIL,FREQ_MARGIN,PAT_SCAN_004,0.525,25
259,LOT_ATPG10,W01,D0002,0.84,1.94,FAIL,FREQ_MARGIN,PAT_SCAN_009,0.539,25
260,LOT_ATPG10,W01,D0002,0.84,2.0,FAIL,FREQ_MARGIN,PAT_SCAN_001,0.489,25
261,LOT_ATPG10,W01,D0002,0.88,0.8,PASS,NA,PAT_SCAN_010,1.272,25
262,LOT_ATPG10,W01,D0002,0.88,0.86,PASS,NA,PAT_SCAN_004,1.166,25
263,LOT_ATPG10,W01,D0002,0.88,0.93,PASS,NA,PAT_SCAN_001,1.076,25
264,LOT_ATPG10,W01,D0002,0.88,0.99,PASS,NA,PAT_SCAN_010,0.984,25
265,LOT_ATPG10,W01,D0002,0.88,1.05,PASS,NA,PAT_SCAN_008,0.944,25
266,LOT_ATPG10,W01,D0002,0.88,1.12,PASS,NA,PAT_SCAN_001,0.901,25
