Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,Pattern_ID,Test_ID,Test_Result,Failure_Code,Margin_GHz
28,LOT_B002,W002,D0002,0.75,1.34,85,93.006,0.758,5.012,1.727,ATPG_038,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1725
29,LOT_B002,W002,D0002,0.75,1.36,85,95.181,0.7369,5.679,1.958,ATPG_097,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1925
30,LOT_B002,W002,D0002,0.75,1.38,85,92.836,0.7139,5.102,1.729,ATPG_059,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2125
31,LOT_B002,W002,D0002,0.75,1.4,85,94.193,0.6649,5.378,1.951,ATPG_033,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2325
32,LOT_B002,W002,D0002,0.75,1.42,85,91.033,0.7205,5.228,1.945,ATPG_011,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2525
33,LOT_B002,W002,D0002,0.75,1.44,85,90.738,0.7045,5.305,1.965,ATPG_060,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2725
34,LOT_B002,W002,D0002,0.75,1.46,85,95.73,0.6871,5.08,1.821,ATPG_009,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2925
35,LOT_B002,W002,D0002,0.75,1.48,85,94.612,0.6803,5.156,1.748,ATPG_033,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3125
36,LOT_B002,W002,D0002,0.75,1.5,85,96.708,0.678,5.65,1.992,ATPG_038,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3325
37,LOT_B002,W002,D0002,0.75,1.52,85,95.271,0.6336,5.327,1.908,ATPG_018,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3525
38,LOT_B002,W002,D0002,0.75,1.54,85,96.19,0.6401,5.216,1.923,ATPG_080,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3725
39,LOT_B002,W002,D0002,0.75,1.56,85,94.575,0.679,5.457,1.728,ATPG_067,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3925
40,LOT_B002,W002,D0002,0.75,1.58,85,95.621,0.6314,5.129,1.968,ATPG_086,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4125
41,LOT_B002,W002,D0002,0.75,1.6,85,98.682,0.6081,4.905,1.894,ATPG_027,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4325
42,LOT_B002,W002,D0002,0.75,1.62,85,97.854,0.673,5.393,1.931,ATPG_064,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4525
43,LOT_B002,W002,D0002,0.75,1.64,85,99.138,0.6136,5.29,1.784,ATPG_017,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4725
44,LOT_B002,W002,D0002,0.75,1.66,85,99.552,0.5934,5.441,1.816,ATPG_006,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4925
45,LOT_B002,W002,D0002,0.75,1.68,85,101.954,0.5603,5.27,1.812,ATPG_087,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5125
46,LOT_B002,W002,D0002,0.75,1.7,85,102.27,0.5621,5.076,1.789,ATPG_095,SCAN_AT_SPEED,FAIL,TIMING,-0.5325
47,LOT_B002,W002,D0002,0.75,1.72,85,100.098,0.6025,5.509,1.808,ATPG_090,SCAN_AT_SPEED,FAIL,TIMING,-0.5525
48,LOT_B002,W002,D0002,0.75,1.74,85,99.097,0.5601,5.19,1.702,ATPG_093,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5725
49,LOT_B002,W002,D0002,0.75,1.76,85,103.191,0.5909,5.407,1.911,ATPG_036,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5925
50,LOT_B002,W002,D0002,0.75,1.78,85,103.537,0.5996,5.211,1.798,ATPG_016,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6125
51,LOT_B002,W002,D0002,0.75,1.8,85,102.648,0.5627,4.935,1.877,ATPG_058,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6325
52,LOT_B002,W002,D0002,0.75,1.82,85,105.309,0.5688,4.916,1.781,ATPG_086,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6525
53,LOT_B002,W002,D0002,0.75,1.84,85,104.178,0.5405,5.535,1.758,ATPG_005,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6725
54,LOT_B002,W002,D0002,0.75,1.86,85,108.527,0.5379,5.458,1.797,ATPG_094,SCAN_AT_SPEED,FAIL,TIMING,-0.6925
55,LOT_B002,W002,D0002,0.75,1.88,85,107.284,0.4921,5.031,1.923,ATPG_017,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7125
56,LOT_B002,W002,D0002,0.75,1.9,85,105.456,0.5196,5.625,1.775,ATPG_090,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7325
57,LOT_B002,W002,D0002,0.75,1.92,85,106.964,0.5324,5.329,1.855,ATPG_048,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7525
58,LOT_B002,W002,D0002,0.75,1.94,85,112.444,0.4851,5.499,1.807,ATPG_064,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7725
59,LOT_B002,W002,D0002,0.75,1.96,85,107.832,0.5257,5.381,1.842,ATPG_086,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7925
60,LOT_B002,W002,D0002,0.75,1.98,85,108.301,0.5473,5.512,1.714,ATPG_090,SCAN_AT_SPEED,FAIL,TIMING,-0.8125
61,LOT_B002,W002,D0002,0.75,2.0,85,109.003,0.5105,5.228,1.705,ATPG_069,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8325
62,LOT_B002,W002,D0002,0.75,2.02,85,112.926,0.4754,5.295,1.721,ATPG_019,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8525
63,LOT_B002,W002,D0002,0.75,2.04,85,112.124,0.4825,5.306,1.982,ATPG_002,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8725
64,LOT_B002,W002,D0002,0.75,2.06,85,113.298,0.49,5.654,1.946,ATPG_024,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8925
65,LOT_B002,W002,D0002,0.75,2.08,85,111.858,0.4786,5.38,1.972,ATPG_012,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9125
66,LOT_B002,W002,D0002,0.75,2.1,85,111.91,0.4784,5.039,1.801,ATPG_044,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9325
67,LOT_B002,W002,D0002,0.75,2.12,85,112.74,0.4887,5.175,1.735,ATPG_090,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9525
68,LOT_B002,W002,D0002,0.75,2.14,85,114.924,0.4547,5.409,1.753,ATPG_075,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9725
69,LOT_B002,W002,D0002,0.75,2.16,85,116.554,0.4967,5.667,1.919,ATPG_073,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9925
70,LOT_B002,W002,D0002,0.75,2.18,85,117.955,0.4697,5.174,1.958,ATPG_036,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0125
71,LOT_B002,W002,D0002,0.75,2.2,85,115.596,0.4598,5.211,1.971,ATPG_055,SCAN_AT_SPEED,FAIL,TIMING,-1.0325
72,LOT_B002,W002,D0002,0.75,2.22,85,111.687,0.4387,5.277,1.716,ATPG_062,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0525
73,LOT_B002,W002,D0002,0.75,2.24,85,116.603,0.4438,5.357,1.985,ATPG_061,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0725
74,LOT_B002,W002,D0002,0.75,2.26,85,116.093,0.4465,5.29,1.866,ATPG_083,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0925
75,LOT_B002,W002,D0002,0.75,2.28,85,116.791,0.4519,5.447,1.937,ATPG_085,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1125
76,LOT_B002,W002,D0002,0.75,2.3,85,119.152,0.4543,5.157,1.805,ATPG_053,SCAN_AT_SPEED,FAIL,TIMING,-1.1325
77,LOT_B002,W002,D0002,0.75,2.32,85,119.306,0.4327,5.311,1.952,ATPG_018,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1525
78,LOT_B002,W002,D0002,0.75,2.34,85,119.258,0.3984,5.339,1.944,ATPG_046,SCAN_AT_SPEED,FAIL,TIMING,-1.1725
79,LOT_B002,W002,D0002,0.75,2.36,85,117.985,0.4195,5.149,1.933,ATPG_071,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1925
80,LOT_B002,W002,D0002,0.75,2.38,85,119.817,0.3884,5.058,1.822,ATPG_054,SCAN_AT_SPEED,FAIL,TIMING,-1.2125
81,LOT_B002,W002,D0002,0.77,0.8,85,76.344,1.2611,5.553,1.904,ATPG_058,SCAN_AT_SPEED,PASS,NA,0.4333
82,LOT_B002,W002,D0002,0.77,0.82,85,76.722,1.2275,5.378,1.786,ATPG_092,SCAN_AT_SPEED,PASS,NA,0.4133
83,LOT_B002,W002,D0002,0.77,0.84,85,70.743,1.1525,5.628,1.713,ATPG_056,SCAN_AT_SPEED,PASS,NA,0.3933
84,LOT_B002,W002,D0002,0.77,0.86,85,77.686,1.1639,5.494,1.857,ATPG_085,SCAN_AT_SPEED,PASS,NA,0.3733
85,LOT_B002,W002,D0002,0.77,0.88,85,76.24,1.1604,5.771,1.97,ATPG_049,SCAN_AT_SPEED,PASS,NA,0.3533
86,LOT_B002,W002,D0002,0.77,0.9,85,81.352,1.0991,5.371,1.732,ATPG_057,SCAN_AT_SPEED,PASS,NA,0.3333
87,LOT_B002,W002,D0002,0.77,0.92,85,79.261,1.0599,5.191,1.78,ATPG_008,SCAN_AT_SPEED,PASS,NA,0.3133
88,LOT_B002,W002,D0002,0.77,0.94,85,77.835,1.0306,5.335,1.71,ATPG_041,SCAN_AT_SPEED,PASS,NA,0.2933
89,LOT_B002,W002,D0002,0.77,0.96,85,81.469,1.0237,5.284,1.973,ATPG_073,SCAN_AT_SPEED,PASS,NA,0.2733
90,LOT_B002,W002,D0002,0.77,0.98,85,81.168,1.057,5.135,1.98,ATPG_006,SCAN_AT_SPEED,PASS,NA,0.2533
91,LOT_B002,W002,D0002,0.77,1.0,85,80.653,1.0059,5.343,1.814,ATPG_005,SCAN_AT_SPEED,PASS,NA,0.2333
92,LOT_B002,W002,D0002,0.77,1.02,85,79.221,1.005,5.451,1.719,ATPG_086,SCAN_AT_SPEED,PASS,NA,0.2133
93,LOT_B002,W002,D0002,0.77,1.04,85,82.469,0.9943,5.303,1.974,ATPG_099,SCAN_AT_SPEED,PASS,NA,0.1933
94,LOT_B002,W002,D0002,0.77,1.06,85,83.098,0.9559,5.309,1.835,ATPG_023,SCAN_AT_SPEED,PASS,NA,0.1733
95,LOT_B002,W002,D0002,0.77,1.08,85,83.505,0.9402,5.502,1.885,ATPG_001,SCAN_AT_SPEED,PASS,NA,0.1533
96,LOT_B002,W002,D0002,0.77,1.1,85,81.631,0.9037,4.704,1.949,ATPG_092,SCAN_AT_SPEED,PASS,NA,0.1333
97,LOT_B002,W002,D0002,0.77,1.12,85,84.836,0.9134,5.63,1.821,ATPG_050,SCAN_AT_SPEED,PASS,NA,0.1133
98,LOT_B002,W002,D0002,0.77,1.14,85,85.444,0.8694,5.679,1.892,ATPG_047,SCAN_AT_SPEED,PASS,NA,0.0933
99,LOT_B002,W002,D0002,0.77,1.16,85,84.861,0.8275,5.331,1.831,ATPG_075,SCAN_AT_SPEED,PASS,NA,0.0733
100,LOT_B002,W002,D0002,0.77,1.18,85,89.233,0.8818,5.471,1.835,ATPG_063,SCAN_AT_SPEED,PASS,NA,0.0533
101,LOT_B002,W002,D0002,0.77,1.2,85,90.217,0.7993,5.123,1.838,ATPG_079,SCAN_AT_SPEED,PASS,NA,0.0333
102,LOT_B002,W002,D0002,0.77,1.22,85,87.465,0.8438,5.095,1.763,ATPG_034,SCAN_AT_SPEED,PASS,NA,0.0133
103,LOT_B002,W002,D0002,0.77,1.24,85,88.925,0.7962,5.211,1.969,ATPG_043,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0067
104,LOT_B002,W002,D0002,0.77,1.26,85,86.69,0.794,5.493,1.881,ATPG_067,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0267
105,LOT_B002,W002,D0002,0.77,1.28,85,88.363,0.7791,5.241,1.762,ATPG_051,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0467
106,LOT_B002,W002,D0002,0.77,1.3,85,87.97,0.7529,5.324,1.796,ATPG_034,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0667
107,LOT_B002,W002,D0002,0.77,1.32,85,91.685,0.7746,5.64,1.924,ATPG_026,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.0867
108,LOT_B002,W002,D0002,0.77,1.34,85,90.031,0.7002,5.344,1.885,ATPG_052,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1067
109,LOT_B002,W002,D0002,0.77,1.36,85,95.449,0.7433,5.45,1.953,ATPG_087,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1267
110,LOT_B002,W002,D0002,0.77,1.38,85,90.935,0.6755,5.704,1.773,ATPG_018,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1467
111,LOT_B002,W002,D0002,0.77,1.4,85,91.578,0.7381,5.515,1.727,ATPG_089,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1667
112,LOT_B002,W002,D0002,0.77,1.42,85,94.183,0.662,5.329,1.807,ATPG_044,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.1867
113,LOT_B002,W002,D0002,0.77,1.44,85,94.507,0.7249,5.227,1.829,ATPG_018,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2067
114,LOT_B002,W002,D0002,0.77,1.46,85,96.046,0.6622,5.095,1.97,ATPG_083,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2267
115,LOT_B002,W002,D0002,0.77,1.48,85,91.756,0.6762,5.588,1.771,ATPG_064,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2467
116,LOT_B002,W002,D0002,0.77,1.5,85,96.455,0.6415,5.276,1.846,ATPG_022,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2667
117,LOT_B002,W002,D0002,0.77,1.52,85,95.159,0.6078,5.29,1.995,ATPG_094,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.2867
118,LOT_B002,W002,D0002,0.77,1.54,85,98.801,0.6523,5.559,1.702,ATPG_095,SCAN_AT_SPEED,FAIL,TIMING,-0.3067
119,LOT_B002,W002,D0002,0.77,1.56,85,99.105,0.6819,5.441,1.784,ATPG_094,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3267
120,LOT_B002,W002,D0002,0.77,1.58,85,101.903,0.6166,5.528,1.859,ATPG_044,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3467
121,LOT_B002,W002,D0002,0.77,1.6,85,96.231,0.6022,5.559,1.844,ATPG_001,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3667
122,LOT_B002,W002,D0002,0.77,1.62,85,100.431,0.6091,5.37,1.74,ATPG_003,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.3867
123,LOT_B002,W002,D0002,0.77,1.64,85,97.712,0.5981,5.445,1.742,ATPG_023,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4067
124,LOT_B002,W002,D0002,0.77,1.66,85,101.65,0.6312,5.505,1.841,ATPG_073,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4267
125,LOT_B002,W002,D0002,0.77,1.68,85,102.898,0.6027,5.359,1.982,ATPG_035,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4467
126,LOT_B002,W002,D0002,0.77,1.7,85,101.152,0.5845,5.533,1.916,ATPG_076,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4667
127,LOT_B002,W002,D0002,0.77,1.72,85,102.736,0.5695,5.422,1.749,ATPG_060,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.4867
128,LOT_B002,W002,D0002,0.77,1.74,85,104.769,0.5611,5.285,1.89,ATPG_085,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5067
129,LOT_B002,W002,D0002,0.77,1.76,85,105.95,0.5922,5.334,1.832,ATPG_062,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5267
130,LOT_B002,W002,D0002,0.77,1.78,85,104.008,0.5779,5.449,1.862,ATPG_014,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5467
131,LOT_B002,W002,D0002,0.77,1.8,85,102.279,0.5508,5.403,1.863,ATPG_063,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.5667
132,LOT_B002,W002,D0002,0.77,1.82,85,107.702,0.5342,5.026,1.919,ATPG_051,SCAN_AT_SPEED,FAIL,TIMING,-0.5867
133,LOT_B002,W002,D0002,0.77,1.84,85,107.691,0.5628,5.649,1.937,ATPG_042,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6067
134,LOT_B002,W002,D0002,0.77,1.86,85,107.452,0.5578,5.565,1.934,ATPG_038,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6267
135,LOT_B002,W002,D0002,0.77,1.88,85,108.047,0.5415,5.304,1.803,ATPG_033,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6467
136,LOT_B002,W002,D0002,0.77,1.9,85,109.187,0.5398,4.95,1.837,ATPG_038,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.6667
137,LOT_B002,W002,D0002,0.77,1.92,85,108.247,0.536,5.475,1.916,ATPG_052,SCAN_AT_SPEED,FAIL,TIMING,-0.6867
138,LOT_B002,W002,D0002,0.77,1.94,85,107.908,0.5258,5.741,1.88,ATPG_095,SCAN_AT_SPEED,FAIL,TIMING,-0.7067
139,LOT_B002,W002,D0002,0.77,1.96,85,106.811,0.5233,5.699,1.746,ATPG_020,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7267
140,LOT_B002,W002,D0002,0.77,1.98,85,110.873,0.4863,5.573,1.878,ATPG_013,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7467
141,LOT_B002,W002,D0002,0.77,2.0,85,114.01,0.4874,5.534,1.723,ATPG_100,SCAN_AT_SPEED,FAIL,TIMING,-0.7667
142,LOT_B002,W002,D0002,0.77,2.02,85,111.849,0.4925,5.201,1.995,ATPG_078,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.7867
143,LOT_B002,W002,D0002,0.77,2.04,85,112.943,0.4563,5.618,1.716,ATPG_036,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8067
144,LOT_B002,W002,D0002,0.77,2.06,85,116.507,0.4728,5.523,1.881,ATPG_009,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8267
145,LOT_B002,W002,D0002,0.77,2.08,85,115.768,0.4762,4.935,1.804,ATPG_035,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8467
146,LOT_B002,W002,D0002,0.77,2.1,85,115.936,0.4917,5.432,1.71,ATPG_034,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8667
147,LOT_B002,W002,D0002,0.77,2.12,85,112.907,0.4573,5.455,1.766,ATPG_051,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.8867
148,LOT_B002,W002,D0002,0.77,2.14,85,117.724,0.4676,5.488,1.838,ATPG_085,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9067
149,LOT_B002,W002,D0002,0.77,2.16,85,114.93,0.463,5.367,1.879,ATPG_020,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9267
150,LOT_B002,W002,D0002,0.77,2.18,85,117.461,0.4205,5.127,1.94,ATPG_013,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9467
151,LOT_B002,W002,D0002,0.77,2.2,85,116.613,0.4539,5.29,1.869,ATPG_062,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9667
152,LOT_B002,W002,D0002,0.77,2.22,85,117.289,0.4304,5.607,1.858,ATPG_018,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-0.9867
153,LOT_B002,W002,D0002,0.77,2.24,85,122.175,0.4405,5.396,1.723,ATPG_092,SCAN_AT_SPEED,FAIL,TIMING,-1.0067
154,LOT_B002,W002,D0002,0.77,2.26,85,118.176,0.4269,5.118,1.893,ATPG_003,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0267
155,LOT_B002,W002,D0002,0.77,2.28,85,121.195,0.4368,5.245,1.767,ATPG_097,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0467
156,LOT_B002,W002,D0002,0.77,2.3,85,120.9,0.4066,5.405,1.879,ATPG_088,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0667
157,LOT_B002,W002,D0002,0.77,2.32,85,121.742,0.4483,5.595,1.997,ATPG_067,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.0867
158,LOT_B002,W002,D0002,0.77,2.34,85,123.319,0.4324,5.446,1.819,ATPG_032,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1067
159,LOT_B002,W002,D0002,0.77,2.36,85,122.136,0.4117,5.188,1.89,ATPG_037,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1267
160,LOT_B002,W002,D0002,0.77,2.38,85,122.79,0.3951,5.465,1.826,ATPG_033,SCAN_AT_SPEED,FAIL,FREQ_MARGIN,-1.1467
161,LOT_B002,W002,D0002,0.78,0.8,85,73.327,1.2481,5.388,1.949,ATPG_002,SCAN_AT_SPEED,PASS,NA,0.4626
162,LOT_B002,W002,D0002,0.78,0.82,85,78.077,1.1844,5.02,1.985,ATPG_037,SCAN_AT_SPEED,PASS,NA,0.4426
163,LOT_B002,W002,D0002,0.78,0.84,85,75.118,1.1956,5.383,1.87,ATPG_086,SCAN_AT_SPEED,PASS,NA,0.4226
164,LOT_B002,W002,D0002,0.78,0.86,85,77.06,1.1555,5.484,1.781,ATPG_059,SCAN_AT_SPEED,PASS,NA,0.4026
165,LOT_B002,W002,D0002,0.78,0.88,85,77.342,1.1688,5.295,1.765,ATPG_040,SCAN_AT_SPEED,PASS,NA,0.3826
166,LOT_B002,W002,D0002,0.78,0.9,85,75.503,1.0785,5.474,1.866,ATPG_022,SCAN_AT_SPEED,PASS,NA,0.3626
167,LOT_B002,W002,D0002,0.78,0.92,85,79.808,1.0865,5.816,1.732,ATPG_025,SCAN_AT_SPEED,PASS,NA,0.3426
168,LOT_B002,W002,D0002,0.78,0.94,85,79.84,1.0971,5.65,1.753,ATPG_086,SCAN_AT_SPEED,PASS,NA,0.3226
169,LOT_B002,W002,D0002,0.78,0.96,85,81.981,1.0645,5.389,1.931,ATPG_045,SCAN_AT_SPEED,PASS,NA,0.3026
