Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,March_Algorithm,Memory_Instance
102,LOT_M10,W01,D0001,0.97,0.86,PASS,NA,March_RAW,SRAM_SRAM2
103,LOT_M10,W01,D0001,0.97,0.93,PASS,NA,March_C_minus,SRAM_SRAM2
104,LOT_M10,W01,D0001,0.97,0.99,PASS,NA,March_SS,SRAM_SRAM0
105,LOT_M10,W01,D0001,0.97,1.05,PASS,NA,March_SS,SRAM_SRAM1
106,LOT_M10,W01,D0001,0.97,1.12,PASS,NA,March_SS,SRAM_SRAM2
107,LOT_M10,W01,D0001,0.97,1.18,PASS,NA,March_RAW,SRAM_SRAM0
108,LOT_M10,W01,D0001,0.97,1.24,PASS,NA,March_C_minus,SRAM_SRAM2
109,LOT_M10,W01,D0001,0.97,1.31,PASS,NA,March_SS,SRAM_SRAM0
110,LOT_M10,W01,D0001,0.97,1.37,PASS,NA,March_RAW,SRAM_SRAM2
111,LOT_M10,W01,D0001,0.97,1.43,PASS,NA,March_RAW,SRAM_SRAM1
112,LOT_M10,W01,D0001,0.97,1.49,PASS,NA,March_RAW,SRAM_SRAM2
113,LOT_M10,W01,D0001,0.97,1.56,PASS,NA,March_RAW,SRAM_SRAM2
114,LOT_M10,W01,D0001,0.97,1.62,PASS,NA,March_C_minus,SRAM_SRAM0
115,LOT_M10,W01,D0001,0.97,1.68,PASS,NA,March_RAW,SRAM_SRAM1
116,LOT_M10,W01,D0001,0.97,1.75,PASS,NA,March_C_minus,SRAM_SRAM2
117,LOT_M10,W01,D0001,0.97,1.81,PASS,NA,March_C_minus,SRAM_SRAM0
118,LOT_M10,W01,D0001,0.97,1.87,PASS,NA,March_SS,SRAM_SRAM2
119,LOT_M10,W01,D0001,0.97,1.94,PASS,NA,March_RAW,SRAM_SRAM1
120,LOT_M10,W01,D0001,0.97,2.0,PASS,NA,March_SS,SRAM_SRAM2
121,LOT_M10,W01,D0001,1.02,0.8,PASS,NA,March_RAW,SRAM_SRAM1
122,LOT_M10,W01,D0001,1.02,0.86,PASS,NA,March_C_minus,SRAM_SRAM0
123,LOT_M10,W01,D0001,1.02,0.93,PASS,NA,March_SS,SRAM_SRAM0
124,LOT_M10,W01,D0001,1.02,0.99,PASS,NA,March_SS,SRAM_SRAM0
125,LOT_M10,W01,D0001,1.02,1.05,PASS,NA,March_C_minus,SRAM_SRAM2
126,LOT_M10,W01,D0001,1.02,1.12,PASS,NA,March_RAW,SRAM_SRAM0
127,LOT_M10,W01,D0001,1.02,1.18,PASS,NA,March_C_minus,SRAM_SRAM2
128,LOT_M10,W01,D0001,1.02,1.24,PASS,NA,March_RAW,SRAM_SRAM2
129,LOT_M10,W01,D0001,1.02,1.31,PASS,NA,March_SS,SRAM_SRAM0
130,LOT_M10,W01,D0001,1.02,1.37,PASS,NA,March_RAW,SRAM_SRAM0
131,LOT_M10,W01,D0001,1.02,1.43,PASS,NA,March_SS,SRAM_SRAM1
132,LOT_M10,W01,D0001,1.02,1.49,PASS,NA,March_RAW,SRAM_SRAM1
133,LOT_M10,W01,D0001,1.02,1.56,PASS,NA,March_C_minus,SRAM_SRAM2
134,LOT_M10,W01,D0001,1.02,1.62,PASS,NA,March_C_minus,SRAM_SRAM0
135,LOT_M10,W01,D0001,1.02,1.68,PASS,NA,March_SS,SRAM_SRAM1
136,LOT_M10,W01,D0001,1.02,1.75,PASS,NA,March_SS,SRAM_SRAM1
137,LOT_M10,W01,D0001,1.02,1.81,PASS,NA,March_SS,SRAM_SRAM2
138,LOT_M10,W01,D0001,1.02,1.87,PASS,NA,March_C_minus,SRAM_SRAM0
139,LOT_M10,W01,D0001,1.02,1.94,PASS,NA,March_C_minus,SRAM_SRAM0
140,LOT_M10,W01,D0001,1.02,2.0,PASS,NA,March_SS,SRAM_SRAM0
141,LOT_M10,W01,D0001,1.06,0.8,PASS,NA,March_RAW,SRAM_SRAM2
142,LOT_M10,W01,D0001,1.06,0.86,PASS,NA,March_C_minus,SRAM_SRAM0
143,LOT_M10,W01,D0001,1.06,0.93,PASS,NA,March_RAW,SRAM_SRAM2
144,LOT_M10,W01,D0001,1.06,0.99,PASS,NA,March_SS,SRAM_SRAM2
145,LOT_M10,W01,D0001,1.06,1.05,PASS,NA,March_SS,SRAM_SRAM1
146,LOT_M10,W01,D0001,1.06,1.12,PASS,NA,March_SS,SRAM_SRAM1
147,LOT_M10,W01,D0001,1.06,1.18,PASS,NA,March_SS,SRAM_SRAM0
148,LOT_M10,W01,D0001,1.06,1.24,PASS,NA,March_RAW,SRAM_SRAM1
149,LOT_M10,W01,D0001,1.06,1.31,PASS,NA,March_RAW,SRAM_SRAM2
150,LOT_M10,W01,D0001,1.06,1.37,PASS,NA,March_SS,SRAM_SRAM0
151,LOT_M10,W01,D0001,1.06,1.43,PASS,NA,March_SS,SRAM_SRAM0
152,LOT_M10,W01,D0001,1.06,1.49,PASS,NA,March_RAW,SRAM_SRAM0
153,LOT_M10,W01,D0001,1.06,1.56,PASS,NA,March_C_minus,SRAM_SRAM0
154,LOT_M10,W01,D0001,1.06,1.62,PASS,NA,March_RAW,SRAM_SRAM2
155,LOT_M10,W01,D0001,1.06,1.68,PASS,NA,March_C_minus,SRAM_SRAM0
156,LOT_M10,W01,D0001,1.06,1.75,PASS,NA,March_SS,SRAM_SRAM0
157,LOT_M10,W01,D0001,1.06,1.81,PASS,NA,March_SS,SRAM_SRAM0
158,LOT_M10,W01,D0001,1.06,1.87,PASS,NA,March_SS,SRAM_SRAM2
159,LOT_M10,W01,D0001,1.06,1.94,PASS,NA,March_C_minus,SRAM_SRAM0
160,LOT_M10,W01,D0001,1.06,2.0,PASS,NA,March_C_minus,SRAM_SRAM0
161,LOT_M10,W01,D0001,1.11,0.8,PASS,NA,March_SS,SRAM_SRAM0
162,LOT_M10,W01,D0001,1.11,0.86,PASS,NA,March_RAW,SRAM_SRAM2
163,LOT_M10,W01,D0001,1.11,0.93,PASS,NA,March_C_minus,SRAM_SRAM2
164,LOT_M10,W01,D0001,1.11,0.99,PASS,NA,March_C_minus,SRAM_SRAM0
165,LOT_M10,W01,D0001,1.11,1.05,PASS,NA,March_RAW,SRAM_SRAM0
166,LOT_M10,W01,D0001,1.11,1.12,PASS,NA,March_RAW,SRAM_SRAM1
167,LOT_M10,W01,D0001,1.11,1.18,PASS,NA,March_C_minus,SRAM_SRAM1
168,LOT_M10,W01,D0001,1.11,1.24,PASS,NA,March_RAW,SRAM_SRAM1
169,LOT_M10,W01,D0001,1.11,1.31,PASS,NA,March_SS,SRAM_SRAM2
170,LOT_M10,W01,D0001,1.11,1.37,PASS,NA,March_SS,SRAM_SRAM1
171,LOT_M10,W01,D0001,1.11,1.43,PASS,NA,March_RAW,SRAM_SRAM1
172,LOT_M10,W01,D0001,1.11,1.49,PASS,NA,March_RAW,SRAM_SRAM1
173,LOT_M10,W01,D0001,1.11,1.56,PASS,NA,March_RAW,SRAM_SRAM2
174,LOT_M10,W01,D0001,1.11,1.62,PASS,NA,March_SS,SRAM_SRAM1
175,LOT_M10,W01,D0001,1.11,1.68,PASS,NA,March_SS,SRAM_SRAM0
176,LOT_M10,W01,D0001,1.11,1.75,PASS,NA,March_C_minus,SRAM_SRAM0
177,LOT_M10,W01,D0001,1.11,1.81,PASS,NA,March_RAW,SRAM_SRAM1
178,LOT_M10,W01,D0001,1.11,1.87,PASS,NA,March_RAW,SRAM_SRAM0
179,LOT_M10,W01,D0001,1.11,1.94,PASS,NA,March_SS,SRAM_SRAM2
180,LOT_M10,W01,D0001,1.11,2.0,PASS,NA,March_SS,SRAM_SRAM2
181,LOT_M10,W01,D0001,1.15,0.8,PASS,NA,March_SS,SRAM_SRAM0
182,LOT_M10,W01,D0001,1.15,0.86,PASS,NA,March_C_minus,SRAM_SRAM1
183,LOT_M10,W01,D0001,1.15,0.93,PASS,NA,March_RAW,SRAM_SRAM0
184,LOT_M10,W01,D0001,1.15,0.99,PASS,NA,March_C_minus,SRAM_SRAM0
185,LOT_M10,W01,D0001,1.15,1.05,PASS,NA,March_SS,SRAM_SRAM1
186,LOT_M10,W01,D0001,1.15,1.12,PASS,NA,March_RAW,SRAM_SRAM2
187,LOT_M10,W01,D0001,1.15,1.18,PASS,NA,March_RAW,SRAM_SRAM1
188,LOT_M10,W01,D0001,1.15,1.24,PASS,NA,March_SS,SRAM_SRAM2
189,LOT_M10,W01,D0001,1.15,1.31,PASS,NA,March_RAW,SRAM_SRAM1
190,LOT_M10,W01,D0001,1.15,1.37,PASS,NA,March_RAW,SRAM_SRAM0
191,LOT_M10,W01,D0001,1.15,1.43,PASS,NA,March_SS,SRAM_SRAM2
192,LOT_M10,W01,D0001,1.15,1.49,PASS,NA,March_SS,SRAM_SRAM0
193,LOT_M10,W01,D0001,1.15,1.56,PASS,NA,March_SS,SRAM_SRAM1
194,LOT_M10,W01,D0001,1.15,1.62,PASS,NA,March_SS,SRAM_SRAM1
195,LOT_M10,W01,D0001,1.15,1.68,PASS,NA,March_C_minus,SRAM_SRAM1
196,LOT_M10,W01,D0001,1.15,1.75,PASS,NA,March_SS,SRAM_SRAM2
197,LOT_M10,W01,D0001,1.15,1.81,PASS,NA,March_SS,SRAM_SRAM2
198,LOT_M10,W01,D0001,1.15,1.87,PASS,NA,March_C_minus,SRAM_SRAM0
199,LOT_M10,W01,D0001,1.15,1.94,PASS,NA,March_C_minus,SRAM_SRAM0
200,LOT_M10,W01,D0001,1.15,2.0,PASS,NA,March_RAW,SRAM_SRAM1
201,LOT_M10,W01,D0002,0.75,0.8,PASS,NA,March_C_minus,SRAM_SRAM1
202,LOT_M10,W01,D0002,0.75,0.86,PASS,NA,March_RAW,SRAM_SRAM2
203,LOT_M10,W01,D0002,0.75,0.93,PASS,NA,March_RAW,SRAM_SRAM0
204,LOT_M10,W01,D0002,0.75,0.99,PASS,NA,March_SS,SRAM_SRAM1
205,LOT_M10,W01,D0002,0.75,1.05,PASS,NA,March_SS,SRAM_SRAM2
206,LOT_M10,W01,D0002,0.75,1.12,PASS,NA,March_C_minus,SRAM_SRAM2
207,LOT_M10,W01,D0002,0.75,1.18,PASS,NA,March_RAW,SRAM_SRAM1
208,LOT_M10,W01,D0002,0.75,1.24,PASS,NA,March_RAW,SRAM_SRAM1
209,LOT_M10,W01,D0002,0.75,1.31,PASS,NA,March_C_minus,SRAM_SRAM1
210,LOT_M10,W01,D0002,0.75,1.37,PASS,NA,March_C_minus,SRAM_SRAM1
211,LOT_M10,W01,D0002,0.75,1.43,PASS,NA,March_RAW,SRAM_SRAM2
212,LOT_M10,W01,D0002,0.75,1.49,FAIL,COUPLING_FAULT,March_C_minus,SRAM_SRAM0
213,LOT_M10,W01,D0002,0.75,1.56,FAIL,COUPLING_FAULT,March_C_minus,SRAM_SRAM2
214,LOT_M10,W01,D0002,0.75,1.62,FAIL,FREQ_MARGIN,March_SS,SRAM_SRAM0
215,LOT_M10,W01,D0002,0.75,1.68,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM0
216,LOT_M10,W01,D0002,0.75,1.75,FAIL,FREQ_MARGIN,March_RAW,SRAM_SRAM2
217,LOT_M10,W01,D0002,0.75,1.81,FAIL,COUPLING_FAULT,March_C_minus,SRAM_SRAM2
218,LOT_M10,W01,D0002,0.75,1.87,FAIL,STUCK_AT,March_RAW,SRAM_SRAM0
219,LOT_M10,W01,D0002,0.75,1.94,FAIL,COUPLING_FAULT,March_SS,SRAM_SRAM0
220,LOT_M10,W01,D0002,0.75,2.0,FAIL,FREQ_MARGIN,March_SS,SRAM_SRAM1
221,LOT_M10,W01,D0002,0.79,0.8,PASS,NA,March_SS,SRAM_SRAM1
222,LOT_M10,W01,D0002,0.79,0.86,PASS,NA,March_C_minus,SRAM_SRAM2
223,LOT_M10,W01,D0002,0.79,0.93,PASS,NA,March_C_minus,SRAM_SRAM1
224,LOT_M10,W01,D0002,0.79,0.99,PASS,NA,March_SS,SRAM_SRAM0
225,LOT_M10,W01,D0002,0.79,1.05,PASS,NA,March_RAW,SRAM_SRAM1
226,LOT_M10,W01,D0002,0.79,1.12,PASS,NA,March_SS,SRAM_SRAM1
227,LOT_M10,W01,D0002,0.79,1.18,PASS,NA,March_C_minus,SRAM_SRAM1
228,LOT_M10,W01,D0002,0.79,1.24,PASS,NA,March_RAW,SRAM_SRAM1
229,LOT_M10,W01,D0002,0.79,1.31,PASS,NA,March_SS,SRAM_SRAM2
230,LOT_M10,W01,D0002,0.79,1.37,PASS,NA,March_SS,SRAM_SRAM0
231,LOT_M10,W01,D0002,0.79,1.43,PASS,NA,March_C_minus,SRAM_SRAM0
232,LOT_M10,W01,D0002,0.79,1.49,PASS,NA,March_RAW,SRAM_SRAM1
233,LOT_M10,W01,D0002,0.79,1.56,PASS,NA,March_C_minus,SRAM_SRAM2
234,LOT_M10,W01,D0002,0.79,1.62,FAIL,FREQ_MARGIN,March_SS,SRAM_SRAM2
235,LOT_M10,W01,D0002,0.79,1.68,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM0
236,LOT_M10,W01,D0002,0.79,1.75,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM2
237,LOT_M10,W01,D0002,0.79,1.81,FAIL,STUCK_AT,March_SS,SRAM_SRAM2
238,LOT_M10,W01,D0002,0.79,1.87,FAIL,RETENTION_FAULT,March_RAW,SRAM_SRAM1
239,LOT_M10,W01,D0002,0.79,1.94,FAIL,COUPLING_FAULT,March_SS,SRAM_SRAM2
240,LOT_M10,W01,D0002,0.79,2.0,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM1
241,LOT_M10,W01,D0002,0.84,0.8,PASS,NA,March_SS,SRAM_SRAM1
242,LOT_M10,W01,D0002,0.84,0.86,PASS,NA,March_RAW,SRAM_SRAM0
243,LOT_M10,W01,D0002,0.84,0.93,PASS,NA,March_RAW,SRAM_SRAM1
244,LOT_M10,W01,D0002,0.84,0.99,PASS,NA,March_C_minus,SRAM_SRAM1
245,LOT_M10,W01,D0002,0.84,1.05,PASS,NA,March_C_minus,SRAM_SRAM2
246,LOT_M10,W01,D0002,0.84,1.12,PASS,NA,March_C_minus,SRAM_SRAM0
247,LOT_M10,W01,D0002,0.84,1.18,PASS,NA,March_C_minus,SRAM_SRAM0
248,LOT_M10,W01,D0002,0.84,1.24,PASS,NA,March_C_minus,SRAM_SRAM1
249,LOT_M10,W01,D0002,0.84,1.31,PASS,NA,March_C_minus,SRAM_SRAM0
250,LOT_M10,W01,D0002,0.84,1.37,PASS,NA,March_RAW,SRAM_SRAM0
251,LOT_M10,W01,D0002,0.84,1.43,PASS,NA,March_RAW,SRAM_SRAM1
252,LOT_M10,W01,D0002,0.84,1.49,PASS,NA,March_C_minus,SRAM_SRAM2
253,LOT_M10,W01,D0002,0.84,1.56,PASS,NA,March_RAW,SRAM_SRAM1
254,LOT_M10,W01,D0002,0.84,1.62,PASS,NA,March_C_minus,SRAM_SRAM0
255,LOT_M10,W01,D0002,0.84,1.68,PASS,NA,March_RAW,SRAM_SRAM0
256,LOT_M10,W01,D0002,0.84,1.75,PASS,NA,March_RAW,SRAM_SRAM0
257,LOT_M10,W01,D0002,0.84,1.81,FAIL,FREQ_MARGIN,March_RAW,SRAM_SRAM0
258,LOT_M10,W01,D0002,0.84,1.87,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM1
259,LOT_M10,W01,D0002,0.84,1.94,FAIL,RETENTION_FAULT,March_C_minus,SRAM_SRAM1
260,LOT_M10,W01,D0002,0.84,2.0,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM0
261,LOT_M10,W01,D0002,0.88,0.8,PASS,NA,March_C_minus,SRAM_SRAM2
262,LOT_M10,W01,D0002,0.88,0.86,PASS,NA,March_SS,SRAM_SRAM2
263,LOT_M10,W01,D0002,0.88,0.93,PASS,NA,March_RAW,SRAM_SRAM1
264,LOT_M10,W01,D0002,0.88,0.99,PASS,NA,March_RAW,SRAM_SRAM0
265,LOT_M10,W01,D0002,0.88,1.05,PASS,NA,March_C_minus,SRAM_SRAM2
266,LOT_M10,W01,D0002,0.88,1.12,PASS,NA,March_C_minus,SRAM_SRAM2
267,LOT_M10,W01,D0002,0.88,1.18,PASS,NA,March_C_minus,SRAM_SRAM0
268,LOT_M10,W01,D0002,0.88,1.24,PASS,NA,March_RAW,SRAM_SRAM0
269,LOT_M10,W01,D0002,0.88,1.31,PASS,NA,March_RAW,SRAM_SRAM0
270,LOT_M10,W01,D0002,0.88,1.37,PASS,NA,March_C_minus,SRAM_SRAM1
271,LOT_M10,W01,D0002,0.88,1.43,PASS,NA,March_SS,SRAM_SRAM2
272,LOT_M10,W01,D0002,0.88,1.49,PASS,NA,March_SS,SRAM_SRAM2
273,LOT_M10,W01,D0002,0.88,1.56,PASS,NA,March_SS,SRAM_SRAM0
274,LOT_M10,W01,D0002,0.88,1.62,PASS,NA,March_RAW,SRAM_SRAM2
275,LOT_M10,W01,D0002,0.88,1.68,PASS,NA,March_C_minus,SRAM_SRAM2
276,LOT_M10,W01,D0002,0.88,1.75,PASS,NA,March_RAW,SRAM_SRAM1
277,LOT_M10,W01,D0002,0.88,1.81,PASS,NA,March_RAW,SRAM_SRAM0
278,LOT_M10,W01,D0002,0.88,1.87,PASS,NA,March_SS,SRAM_SRAM1
279,LOT_M10,W01,D0002,0.88,1.94,FAIL,FREQ_MARGIN,March_C_minus,SRAM_SRAM0
280,LOT_M10,W01,D0002,0.88,2.0,FAIL,STUCK_AT,March_SS,SRAM_SRAM0
281,LOT_M10,W01,D0002,0.93,0.8,PASS,NA,March_SS,SRAM_SRAM2
