Point_ID,Die_ID,VDD_V,Frequency_GHz,Test_Result,Failure_Code,Margin_GHz,Timing_ns,Current_mA,Temperature_C
74,D0001,0.753,2.421,FAIL,FREQ_MARGIN,-1.411,0.413,199.3,25.0
75,D0001,0.753,2.5,FAIL,FREQ_MARGIN,-1.49,0.4,202.9,25.0
76,D0001,0.779,0.6,PASS,NA,0.493,1.667,120.5,25.0
77,D0001,0.779,0.679,PASS,NA,0.414,1.473,124.0,25.0
78,D0001,0.779,0.758,PASS,NA,0.335,1.319,127.6,25.0
79,D0001,0.779,0.837,PASS,NA,0.256,1.195,131.1,25.0
80,D0001,0.779,0.917,PASS,NA,0.176,1.091,134.7,25.0
81,D0001,0.779,0.996,PASS,NA,0.097,1.004,138.3,25.0
82,D0001,0.779,1.075,PASS,NA,0.018,0.93,141.9,25.0
83,D0001,0.779,1.154,FAIL,FREQ_MARGIN,-0.061,0.867,145.4,25.0
84,D0001,0.779,1.233,FAIL,FREQ_MARGIN,-0.14,0.811,149.0,25.0
85,D0001,0.779,1.312,FAIL,FREQ_MARGIN,-0.219,0.762,152.5,25.0
86,D0001,0.779,1.392,FAIL,FREQ_MARGIN,-0.299,0.718,156.1,25.0
87,D0001,0.779,1.471,FAIL,FREQ_MARGIN,-0.378,0.68,159.7,25.0
88,D0001,0.779,1.55,FAIL,FREQ_MARGIN,-0.457,0.645,163.2,25.0
89,D0001,0.779,1.629,FAIL,FREQ_MARGIN,-0.536,0.614,166.8,25.0
90,D0001,0.779,1.708,FAIL,FREQ_MARGIN,-0.615,0.585,170.3,25.0
91,D0001,0.779,1.788,FAIL,FREQ_MARGIN,-0.695,0.559,173.9,25.0
92,D0001,0.779,1.867,FAIL,FREQ_MARGIN,-0.774,0.536,177.5,25.0
93,D0001,0.779,1.946,FAIL,FREQ_MARGIN,-0.853,0.514,181.0,25.0
94,D0001,0.779,2.025,FAIL,FREQ_MARGIN,-0.932,0.494,184.6,25.0
95,D0001,0.779,2.104,FAIL,FREQ_MARGIN,-1.011,0.475,188.2,25.0
96,D0001,0.779,2.183,FAIL,FREQ_MARGIN,-1.09,0.458,191.7,25.0
97,D0001,0.779,2.262,FAIL,FREQ_MARGIN,-1.169,0.442,195.3,25.0
98,D0001,0.779,2.342,FAIL,FREQ_MARGIN,-1.249,0.427,198.9,25.0
99,D0001,0.779,2.421,FAIL,FREQ_MARGIN,-1.328,0.413,202.4,25.0
100,D0001,0.779,2.5,FAIL,FREQ_MARGIN,-1.407,0.4,206.0,25.0
101,D0001,0.805,0.6,PASS,NA,0.576,1.667,123.6,25.0
102,D0001,0.805,0.679,PASS,NA,0.497,1.473,127.2,25.0
103,D0001,0.805,0.758,PASS,NA,0.418,1.319,130.7,25.0
104,D0001,0.805,0.837,PASS,NA,0.339,1.195,134.3,25.0
105,D0001,0.805,0.917,PASS,NA,0.259,1.091,137.9,25.0
106,D0001,0.805,0.996,PASS,NA,0.18,1.004,141.4,25.0
107,D0001,0.805,1.075,PASS,NA,0.101,0.93,145.0,25.0
108,D0001,0.805,1.154,PASS,NA,0.022,0.867,148.5,25.0
109,D0001,0.805,1.233,FAIL,FREQ_MARGIN,-0.057,0.811,152.1,25.0
110,D0001,0.805,1.312,FAIL,FREQ_MARGIN,-0.136,0.762,155.6,25.0
111,D0001,0.805,1.392,FAIL,FREQ_MARGIN,-0.216,0.718,159.2,25.0
112,D0001,0.805,1.471,FAIL,FREQ_MARGIN,-0.295,0.68,162.8,25.0
113,D0001,0.805,1.55,FAIL,FREQ_MARGIN,-0.374,0.645,166.4,25.0
114,D0001,0.805,1.629,FAIL,FREQ_MARGIN,-0.453,0.614,169.9,25.0
115,D0001,0.805,1.708,FAIL,FREQ_MARGIN,-0.532,0.585,173.5,25.0
116,D0001,0.805,1.788,FAIL,FREQ_MARGIN,-0.612,0.559,177.1,25.0
117,D0001,0.805,1.867,FAIL,FREQ_MARGIN,-0.691,0.536,180.6,25.0
118,D0001,0.805,1.946,FAIL,FREQ_MARGIN,-0.77,0.514,184.2,25.0
119,D0001,0.805,2.025,FAIL,FREQ_MARGIN,-0.849,0.494,187.7,25.0
120,D0001,0.805,2.104,FAIL,FREQ_MARGIN,-0.928,0.475,191.3,25.0
121,D0001,0.805,2.183,FAIL,FREQ_MARGIN,-1.007,0.458,194.8,25.0
122,D0001,0.805,2.262,FAIL,FREQ_MARGIN,-1.086,0.442,198.4,25.0
123,D0001,0.805,2.342,FAIL,FREQ_MARGIN,-1.166,0.427,202.0,25.0
124,D0001,0.805,2.421,FAIL,FREQ_MARGIN,-1.245,0.413,205.5,25.0
125,D0001,0.805,2.5,FAIL,FREQ_MARGIN,-1.324,0.4,209.1,25.0
126,D0001,0.832,0.6,PASS,NA,0.662,1.667,126.8,25.0
127,D0001,0.832,0.679,PASS,NA,0.583,1.473,130.4,25.0
128,D0001,0.832,0.758,PASS,NA,0.504,1.319,134.0,25.0
129,D0001,0.832,0.837,PASS,NA,0.425,1.195,137.5,25.0
130,D0001,0.832,0.917,PASS,NA,0.345,1.091,141.1,25.0
131,D0001,0.832,0.996,PASS,NA,0.266,1.004,144.7,25.0
132,D0001,0.832,1.075,PASS,NA,0.187,0.93,148.2,25.0
133,D0001,0.832,1.154,PASS,NA,0.108,0.867,151.8,25.0
134,D0001,0.832,1.233,PASS,NA,0.029,0.811,155.3,25.0
135,D0001,0.832,1.312,FAIL,FREQ_MARGIN,-0.05,0.762,158.9,25.0
136,D0001,0.832,1.392,FAIL,FREQ_MARGIN,-0.13,0.718,162.5,25.0
137,D0001,0.832,1.471,FAIL,FREQ_MARGIN,-0.209,0.68,166.0,25.0
138,D0001,0.832,1.55,FAIL,FREQ_MARGIN,-0.288,0.645,169.6,25.0
139,D0001,0.832,1.629,FAIL,FREQ_MARGIN,-0.367,0.614,173.1,25.0
140,D0001,0.832,1.708,FAIL,FREQ_MARGIN,-0.446,0.585,176.7,25.0
141,D0001,0.832,1.788,FAIL,FREQ_MARGIN,-0.526,0.559,180.3,25.0
142,D0001,0.832,1.867,FAIL,FREQ_MARGIN,-0.605,0.536,183.9,25.0
143,D0001,0.832,1.946,FAIL,FREQ_MARGIN,-0.684,0.514,187.4,25.0
144,D0001,0.832,2.025,FAIL,FREQ_MARGIN,-0.763,0.494,191.0,25.0
145,D0001,0.832,2.104,FAIL,FREQ_MARGIN,-0.842,0.475,194.5,25.0
146,D0001,0.832,2.183,FAIL,FREQ_MARGIN,-0.921,0.458,198.1,25.0
147,D0001,0.832,2.262,FAIL,FREQ_MARGIN,-1.0,0.442,201.6,25.0
148,D0001,0.832,2.342,FAIL,FREQ_MARGIN,-1.08,0.427,205.2,25.0
149,D0001,0.832,2.421,FAIL,FREQ_MARGIN,-1.159,0.413,208.8,25.0
150,D0001,0.832,2.5,FAIL,FREQ_MARGIN,-1.238,0.4,212.3,25.0
151,D0001,0.858,0.6,PASS,NA,0.746,1.667,130.0,25.0
152,D0001,0.858,0.679,PASS,NA,0.667,1.473,133.5,25.0
153,D0001,0.858,0.758,PASS,NA,0.588,1.319,137.1,25.0
154,D0001,0.858,0.837,PASS,NA,0.509,1.195,140.6,25.0
155,D0001,0.858,0.917,PASS,NA,0.429,1.091,144.2,25.0
156,D0001,0.858,0.996,PASS,NA,0.35,1.004,147.8,25.0
157,D0001,0.858,1.075,PASS,NA,0.271,0.93,151.3,25.0
158,D0001,0.858,1.154,PASS,NA,0.192,0.867,154.9,25.0
159,D0001,0.858,1.233,PASS,NA,0.113,0.811,158.4,25.0
160,D0001,0.858,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.034,0.762,162.0,25.0
161,D0001,0.858,1.392,FAIL,FINGER_RESONANCE_COUPLING,-0.046,0.718,165.6,25.0
162,D0001,0.858,1.471,FAIL,FREQ_MARGIN,-0.125,0.68,169.2,25.0
163,D0001,0.858,1.55,FAIL,FREQ_MARGIN,-0.204,0.645,172.7,25.0
164,D0001,0.858,1.629,FAIL,FREQ_MARGIN,-0.283,0.614,176.3,25.0
165,D0001,0.858,1.708,FAIL,FREQ_MARGIN,-0.362,0.585,179.8,25.0
166,D0001,0.858,1.788,FAIL,FREQ_MARGIN,-0.442,0.559,183.4,25.0
167,D0001,0.858,1.867,FAIL,FREQ_MARGIN,-0.521,0.536,187.0,25.0
168,D0001,0.858,1.946,FAIL,FREQ_MARGIN,-0.6,0.514,190.5,25.0
169,D0001,0.858,2.025,FAIL,FREQ_MARGIN,-0.679,0.494,194.1,25.0
170,D0001,0.858,2.104,FAIL,FREQ_MARGIN,-0.758,0.475,197.6,25.0
171,D0001,0.858,2.183,FAIL,FREQ_MARGIN,-0.837,0.458,201.2,25.0
172,D0001,0.858,2.262,FAIL,FREQ_MARGIN,-0.916,0.442,204.8,25.0
173,D0001,0.858,2.342,FAIL,FREQ_MARGIN,-0.996,0.427,208.4,25.0
174,D0001,0.858,2.421,FAIL,FREQ_MARGIN,-1.075,0.413,211.9,25.0
175,D0001,0.858,2.5,FAIL,FREQ_MARGIN,-1.154,0.4,215.5,25.0
176,D0001,0.884,0.6,PASS,NA,0.829,1.667,133.1,25.0
177,D0001,0.884,0.679,PASS,NA,0.75,1.473,136.6,25.0
178,D0001,0.884,0.758,PASS,NA,0.671,1.319,140.2,25.0
179,D0001,0.884,0.837,PASS,NA,0.592,1.195,143.7,25.0
180,D0001,0.884,0.917,PASS,NA,0.512,1.091,147.3,25.0
181,D0001,0.884,0.996,PASS,NA,0.433,1.004,150.9,25.0
182,D0001,0.884,1.075,PASS,NA,0.354,0.93,154.5,25.0
183,D0001,0.884,1.154,PASS,NA,0.275,0.867,158.0,25.0
184,D0001,0.884,1.233,PASS,NA,0.196,0.811,161.6,25.0
185,D0001,0.884,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.117,0.762,165.1,25.0
186,D0001,0.884,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.037,0.718,168.7,25.0
187,D0001,0.884,1.471,FAIL,FREQ_MARGIN,-0.042,0.68,172.3,25.0
188,D0001,0.884,1.55,FAIL,FREQ_MARGIN,-0.121,0.645,175.8,25.0
189,D0001,0.884,1.629,FAIL,FREQ_MARGIN,-0.2,0.614,179.4,25.0
190,D0001,0.884,1.708,FAIL,FREQ_MARGIN,-0.279,0.585,182.9,25.0
191,D0001,0.884,1.788,FAIL,FREQ_MARGIN,-0.359,0.559,186.5,25.0
192,D0001,0.884,1.867,FAIL,FREQ_MARGIN,-0.438,0.536,190.1,25.0
193,D0001,0.884,1.946,FAIL,FREQ_MARGIN,-0.517,0.514,193.6,25.0
194,D0001,0.884,2.025,FAIL,FREQ_MARGIN,-0.596,0.494,197.2,25.0
195,D0001,0.884,2.104,FAIL,FREQ_MARGIN,-0.675,0.475,200.8,25.0
196,D0001,0.884,2.183,FAIL,FREQ_MARGIN,-0.754,0.458,204.3,25.0
197,D0001,0.884,2.262,FAIL,FREQ_MARGIN,-0.833,0.442,207.9,25.0
198,D0001,0.884,2.342,FAIL,FREQ_MARGIN,-0.913,0.427,211.5,25.0
199,D0001,0.884,2.421,FAIL,FREQ_MARGIN,-0.992,0.413,215.0,25.0
200,D0001,0.884,2.5,FAIL,FREQ_MARGIN,-1.071,0.4,218.6,25.0
201,D0001,0.911,0.6,PASS,NA,0.915,1.667,136.3,25.0
202,D0001,0.911,0.679,PASS,NA,0.836,1.473,139.9,25.0
203,D0001,0.911,0.758,PASS,NA,0.757,1.319,143.4,25.0
204,D0001,0.911,0.837,PASS,NA,0.678,1.195,147.0,25.0
205,D0001,0.911,0.917,PASS,NA,0.598,1.091,150.6,25.0
206,D0001,0.911,0.996,PASS,NA,0.519,1.004,154.1,25.0
207,D0001,0.911,1.075,PASS,NA,0.44,0.93,157.7,25.0
208,D0001,0.911,1.154,PASS,NA,0.361,0.867,161.2,25.0
209,D0001,0.911,1.233,PASS,NA,0.282,0.811,164.8,25.0
210,D0001,0.911,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.203,0.762,168.4,25.0
211,D0001,0.911,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.123,0.718,172.0,25.0
212,D0001,0.911,1.471,PASS,NA,0.044,0.68,175.5,25.0
213,D0001,0.911,1.55,FAIL,FREQ_MARGIN,-0.035,0.645,179.1,25.0
214,D0001,0.911,1.629,FAIL,FREQ_MARGIN,-0.114,0.614,182.6,25.0
215,D0001,0.911,1.708,FAIL,FREQ_MARGIN,-0.193,0.585,186.2,25.0
216,D0001,0.911,1.788,FAIL,FREQ_MARGIN,-0.273,0.559,189.8,25.0
217,D0001,0.911,1.867,FAIL,FREQ_MARGIN,-0.352,0.536,193.3,25.0
218,D0001,0.911,1.946,FAIL,FREQ_MARGIN,-0.431,0.514,196.9,25.0
219,D0001,0.911,2.025,FAIL,FREQ_MARGIN,-0.51,0.494,200.4,25.0
220,D0001,0.911,2.104,FAIL,FREQ_MARGIN,-0.589,0.475,204.0,25.0
221,D0001,0.911,2.183,FAIL,FREQ_MARGIN,-0.668,0.458,207.6,25.0
222,D0001,0.911,2.262,FAIL,FREQ_MARGIN,-0.747,0.442,211.1,25.0
223,D0001,0.911,2.342,FAIL,FREQ_MARGIN,-0.827,0.427,214.7,25.0
224,D0001,0.911,2.421,FAIL,FREQ_MARGIN,-0.906,0.413,218.3,25.0
225,D0001,0.911,2.5,FAIL,FREQ_MARGIN,-0.985,0.4,221.8,25.0
226,D0001,0.937,0.6,PASS,NA,0.998,1.667,139.4,25.0
227,D0001,0.937,0.679,PASS,NA,0.919,1.473,143.0,25.0
228,D0001,0.937,0.758,PASS,NA,0.84,1.319,146.6,25.0
229,D0001,0.937,0.837,PASS,NA,0.761,1.195,150.1,25.0
230,D0001,0.937,0.917,PASS,NA,0.681,1.091,153.7,25.0
231,D0001,0.937,0.996,PASS,NA,0.602,1.004,157.3,25.0
232,D0001,0.937,1.075,PASS,NA,0.523,0.93,160.8,25.0
233,D0001,0.937,1.154,PASS,NA,0.444,0.867,164.4,25.0
234,D0001,0.937,1.233,PASS,NA,0.365,0.811,167.9,25.0
235,D0001,0.937,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.286,0.762,171.5,25.0
236,D0001,0.937,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.206,0.718,175.1,25.0
237,D0001,0.937,1.471,PASS,NA,0.127,0.68,178.6,25.0
238,D0001,0.937,1.55,PASS,NA,0.048,0.645,182.2,25.0
239,D0001,0.937,1.629,FAIL,FREQ_MARGIN,-0.031,0.614,185.7,25.0
240,D0001,0.937,1.708,FAIL,FREQ_MARGIN,-0.11,0.585,189.3,25.0
241,D0001,0.937,1.788,FAIL,FREQ_MARGIN,-0.19,0.559,192.9,25.0
242,D0001,0.937,1.867,FAIL,FREQ_MARGIN,-0.269,0.536,196.5,25.0
243,D0001,0.937,1.946,FAIL,FREQ_MARGIN,-0.348,0.514,200.0,25.0
244,D0001,0.937,2.025,FAIL,FREQ_MARGIN,-0.427,0.494,203.6,25.0
245,D0001,0.937,2.104,FAIL,FREQ_MARGIN,-0.506,0.475,207.1,25.0
246,D0001,0.937,2.183,FAIL,FREQ_MARGIN,-0.585,0.458,210.7,25.0
247,D0001,0.937,2.262,FAIL,FREQ_MARGIN,-0.664,0.442,214.2,25.0
248,D0001,0.937,2.342,FAIL,FREQ_MARGIN,-0.744,0.427,217.8,25.0
249,D0001,0.937,2.421,FAIL,FREQ_MARGIN,-0.823,0.413,221.4,25.0
250,D0001,0.937,2.5,FAIL,FREQ_MARGIN,-0.902,0.4,224.9,25.0
251,D0001,0.963,0.6,PASS,NA,1.082,1.667,142.6,25.0
252,D0001,0.963,0.679,PASS,NA,1.003,1.473,146.1,25.0
253,D0001,0.963,0.758,PASS,NA,0.924,1.319,149.7,25.0
254,D0001,0.963,0.837,PASS,NA,0.845,1.195,153.2,25.0
255,D0001,0.963,0.917,PASS,NA,0.765,1.091,156.8,25.0
256,D0001,0.963,0.996,PASS,NA,0.686,1.004,160.4,25.0
257,D0001,0.963,1.075,PASS,NA,0.607,0.93,163.9,25.0
258,D0001,0.963,1.154,PASS,NA,0.528,0.867,167.5,25.0
259,D0001,0.963,1.233,PASS,NA,0.449,0.811,171.0,25.0
260,D0001,0.963,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.37,0.762,174.6,25.0
261,D0001,0.963,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.29,0.718,178.2,25.0
262,D0001,0.963,1.471,PASS,NA,0.211,0.68,181.8,25.0
263,D0001,0.963,1.55,PASS,NA,0.132,0.645,185.3,25.0
264,D0001,0.963,1.629,PASS,NA,0.053,0.614,188.9,25.0
265,D0001,0.963,1.708,FAIL,FREQ_MARGIN,-0.026,0.585,192.4,25.0
266,D0001,0.963,1.788,FAIL,FREQ_MARGIN,-0.106,0.559,196.0,25.0
267,D0001,0.963,1.867,FAIL,FINGER_RESONANCE_COUPLING,-0.185,0.536,199.6,25.0
268,D0001,0.963,1.946,FAIL,FINGER_RESONANCE_COUPLING,-0.264,0.514,203.1,25.0
269,D0001,0.963,2.025,FAIL,FREQ_MARGIN,-0.343,0.494,206.7,25.0
270,D0001,0.963,2.104,FAIL,FREQ_MARGIN,-0.422,0.475,210.2,25.0
271,D0001,0.963,2.183,FAIL,FREQ_MARGIN,-0.501,0.458,213.8,25.0
272,D0001,0.963,2.262,FAIL,FREQ_MARGIN,-0.58,0.442,217.4,25.0
273,D0001,0.963,2.342,FAIL,FREQ_MARGIN,-0.66,0.427,221.0,25.0
274,D0001,0.963,2.421,FAIL,FREQ_MARGIN,-0.739,0.413,224.5,25.0
275,D0001,0.963,2.5,FAIL,FREQ_MARGIN,-0.818,0.4,228.1,25.0
276,D0001,0.989,0.6,PASS,NA,1.165,1.667,145.7,25.0
277,D0001,0.989,0.679,PASS,NA,1.086,1.473,149.2,25.0
278,D0001,0.989,0.758,PASS,NA,1.007,1.319,152.8,25.0
279,D0001,0.989,0.837,PASS,NA,0.928,1.195,156.3,25.0
280,D0001,0.989,0.917,PASS,NA,0.848,1.091,159.9,25.0
281,D0001,0.989,0.996,PASS,NA,0.769,1.004,163.5,25.0
282,D0001,0.989,1.075,PASS,NA,0.69,0.93,167.1,25.0
283,D0001,0.989,1.154,PASS,NA,0.611,0.867,170.6,25.0
284,D0001,0.989,1.233,PASS,NA,0.532,0.811,174.2,25.0
285,D0001,0.989,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.453,0.762,177.7,25.0
286,D0001,0.989,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.373,0.718,181.3,25.0
287,D0001,0.989,1.471,PASS,NA,0.294,0.68,184.9,25.0
288,D0001,0.989,1.55,PASS,NA,0.215,0.645,188.4,25.0
289,D0001,0.989,1.629,PASS,NA,0.136,0.614,192.0,25.0
290,D0001,0.989,1.708,PASS,NA,0.057,0.585,195.5,25.0
291,D0001,0.989,1.788,FAIL,FREQ_MARGIN,-0.023,0.559,199.1,25.0
292,D0001,0.989,1.867,FAIL,FINGER_RESONANCE_COUPLING,-0.102,0.536,202.7,25.0
293,D0001,0.989,1.946,FAIL,FINGER_RESONANCE_COUPLING,-0.181,0.514,206.2,25.0
294,D0001,0.989,2.025,FAIL,FREQ_MARGIN,-0.26,0.494,209.8,25.0
295,D0001,0.989,2.104,FAIL,FREQ_MARGIN,-0.339,0.475,213.4,25.0
296,D0001,0.989,2.183,FAIL,FREQ_MARGIN,-0.418,0.458,216.9,25.0
297,D0001,0.989,2.262,FAIL,FREQ_MARGIN,-0.497,0.442,220.5,25.0
298,D0001,0.989,2.342,FAIL,FREQ_MARGIN,-0.577,0.427,224.1,25.0
299,D0001,0.989,2.421,FAIL,FREQ_MARGIN,-0.656,0.413,227.6,25.0
300,D0001,0.989,2.5,FAIL,FREQ_MARGIN,-0.735,0.4,231.2,25.0
301,D0001,1.016,0.6,PASS,NA,1.251,1.667,148.9,25.0
302,D0001,1.016,0.679,PASS,NA,1.172,1.473,152.5,25.0
303,D0001,1.016,0.758,PASS,NA,1.093,1.319,156.0,25.0
304,D0001,1.016,0.837,PASS,NA,1.014,1.195,159.6,25.0
305,D0001,1.016,0.917,PASS,NA,0.934,1.091,163.2,25.0
306,D0001,1.016,0.996,PASS,NA,0.855,1.004,166.7,25.0
307,D0001,1.016,1.075,PASS,NA,0.776,0.93,170.3,25.0
308,D0001,1.016,1.154,PASS,NA,0.697,0.867,173.8,25.0
309,D0001,1.016,1.233,PASS,NA,0.618,0.811,177.4,25.0
310,D0001,1.016,1.312,FAIL,FINGER_RESONANCE_COUPLING,0.539,0.762,181.0,25.0
311,D0001,1.016,1.392,FAIL,FINGER_RESONANCE_COUPLING,0.459,0.718,184.6,25.0
312,D0001,1.016,1.471,PASS,NA,0.38,0.68,188.1,25.0
313,D0001,1.016,1.55,PASS,NA,0.301,0.645,191.7,25.0
314,D0001,1.016,1.629,PASS,NA,0.222,0.614,195.2,25.0
315,D0001,1.016,1.708,PASS,NA,0.143,0.585,198.8,25.0
316,D0001,1.016,1.788,PASS,NA,0.063,0.559,202.4,25.0
317,D0001,1.016,1.867,FAIL,FINGER_RESONANCE_COUPLING,-0.016,0.536,205.9,25.0
