Point_ID,Lot_ID,Wafer_ID,Die_ID,VDD_V,Frequency_GHz,Temperature_C,Current_mA,Timing_ns,Leakage_mA,Test_Time_ms,March_Algorithm,Memory_Instance,Memory_Address,Test_ID,Test_Result,Failure_Code,Margin_GHz
13,LOT_B001,W002,D0002,0.7,1.062,85,67.766,0.6689,1.5243,1.718,MARCH_Y,REGFILE_A,0xBA64,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
14,LOT_B001,W002,D0002,0.7,1.099,85,64.891,0.663,1.4083,1.71,MARCH_B,REGFILE_A,0xDEB2,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
15,LOT_B001,W002,D0002,0.7,1.136,85,66.717,0.6309,1.4648,1.827,MARCH_C_MINUS,SRAM_BANK_0,0x9D96,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
16,LOT_B001,W002,D0002,0.7,1.173,85,68.19,0.6369,1.5873,1.82,MARCH_SS,SRAM_BANK_0,0xAAA9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
17,LOT_B001,W002,D0002,0.7,1.209,85,67.928,0.6069,1.4781,1.647,MATS_PLUS,SRAM_BANK_0,0xBF1D,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
18,LOT_B001,W002,D0002,0.7,1.246,85,66.954,0.5852,1.4313,1.827,MARCH_Y,SRAM_BANK_1,0x7580,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
19,LOT_B001,W002,D0002,0.7,1.283,85,67.177,0.5465,1.4812,1.602,MARCH_B,SRAM_BANK_1,0x55C7,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
20,LOT_B001,W002,D0002,0.7,1.32,85,66.095,0.5749,1.3698,1.661,MARCH_C_MINUS,SRAM_BANK_1,0x1F3A,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
21,LOT_B001,W002,D0002,0.719,0.689,85,63.814,1.0248,1.4544,1.843,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.35
22,LOT_B001,W002,D0002,0.719,0.726,85,60.908,0.9917,1.5347,1.613,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.3132
23,LOT_B001,W002,D0002,0.719,0.763,85,64.797,0.9414,1.4839,1.722,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.2763
24,LOT_B001,W002,D0002,0.719,0.8,85,66.09,0.9081,1.5932,1.692,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2395
25,LOT_B001,W002,D0002,0.719,0.836,85,66.778,0.8748,1.4594,1.809,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2026
26,LOT_B001,W002,D0002,0.719,0.873,85,63.479,0.8189,1.5379,1.769,MARCH_SS,CACHE_L2,0x87C2,MBIST_RUN,FAIL,COUPLING_FAULT,0.1658
27,LOT_B001,W002,D0002,0.719,0.91,85,64.455,0.8021,1.5641,1.809,MATS_PLUS,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.1289
28,LOT_B001,W002,D0002,0.719,0.947,85,67.308,0.7691,1.5463,1.774,MARCH_Y,REGFILE_A,0xD88F,MBIST_RUN,FAIL,RETENTION_FAULT,0.0921
29,LOT_B001,W002,D0002,0.719,0.984,85,66.19,0.745,1.4013,1.623,MARCH_B,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.0553
30,LOT_B001,W002,D0002,0.719,1.021,85,63.984,0.7174,1.6338,1.824,MARCH_C_MINUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.0184
31,LOT_B001,W002,D0002,0.719,1.057,85,66.814,0.6844,1.4755,1.64,MARCH_SS,SRAM_BANK_0,0xA5A5,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
32,LOT_B001,W002,D0002,0.719,1.094,85,68.014,0.6759,1.5752,1.843,MATS_PLUS,SRAM_BANK_0,0x0B91,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
33,LOT_B001,W002,D0002,0.719,1.131,85,67.29,0.6244,1.6138,1.656,MARCH_Y,SRAM_BANK_1,0x60A0,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
34,LOT_B001,W002,D0002,0.719,1.168,85,67.315,0.6126,1.4929,1.786,MARCH_B,SRAM_BANK_1,0x84C2,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
35,LOT_B001,W002,D0002,0.719,1.205,85,68.851,0.6166,1.5103,1.666,MARCH_C_MINUS,SRAM_BANK_1,0x1AED,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
36,LOT_B001,W002,D0002,0.719,1.242,85,68.386,0.5805,1.6027,1.709,MARCH_SS,CACHE_L1,0xBD14,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
37,LOT_B001,W002,D0002,0.719,1.278,85,72.309,0.5641,1.4174,1.781,MATS_PLUS,CACHE_L1,0xB292,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
38,LOT_B001,W002,D0002,0.719,1.315,85,70.721,0.5514,1.3872,1.821,MARCH_Y,CACHE_L1,0x7F7B,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
39,LOT_B001,W002,D0002,0.719,1.352,85,69.506,0.5318,1.4621,1.813,MARCH_B,CACHE_L2,0xCCFF,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
40,LOT_B001,W002,D0002,0.719,1.389,85,65.614,0.5157,1.6176,1.833,MARCH_C_MINUS,CACHE_L2,0xCAAD,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
41,LOT_B001,W002,D0002,0.738,0.758,85,64.869,0.9418,1.6908,1.785,MARCH_SS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.35
42,LOT_B001,W002,D0002,0.738,0.795,85,63.379,0.9197,1.6786,1.803,MATS_PLUS,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.3132
43,LOT_B001,W002,D0002,0.738,0.832,85,65.884,0.9042,1.6519,1.775,MARCH_Y,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.2763
44,LOT_B001,W002,D0002,0.738,0.869,85,64.934,0.8366,1.5444,1.745,MARCH_B,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.2395
45,LOT_B001,W002,D0002,0.738,0.905,85,65.642,0.7899,1.4632,1.748,MARCH_C_MINUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.2026
46,LOT_B001,W002,D0002,0.738,0.942,85,65.288,0.775,1.6114,1.792,MARCH_SS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.1658
47,LOT_B001,W002,D0002,0.738,0.979,85,67.115,0.7227,1.7974,1.759,MATS_PLUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.1289
48,LOT_B001,W002,D0002,0.738,1.016,85,63.548,0.7106,1.5533,1.71,MARCH_Y,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0921
49,LOT_B001,W002,D0002,0.738,1.053,85,65.722,0.7005,1.5795,1.663,MARCH_B,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0553
50,LOT_B001,W002,D0002,0.738,1.09,85,69.823,0.6649,1.5054,1.839,MARCH_C_MINUS,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0184
51,LOT_B001,W002,D0002,0.738,1.126,85,68.036,0.6557,1.5001,1.662,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,-0.0184
52,LOT_B001,W002,D0002,0.738,1.163,85,69.665,0.6119,1.6417,1.719,MATS_PLUS,CACHE_L1,0xA8D9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
53,LOT_B001,W002,D0002,0.738,1.2,85,69.108,0.6059,1.5677,1.762,MARCH_Y,CACHE_L1,0x96F9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
54,LOT_B001,W002,D0002,0.738,1.237,85,70.669,0.5953,1.596,1.756,MARCH_B,CACHE_L2,0x89B9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
55,LOT_B001,W002,D0002,0.738,1.274,85,73.429,0.5661,1.684,1.836,MARCH_C_MINUS,CACHE_L2,0x7901,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
56,LOT_B001,W002,D0002,0.738,1.311,85,69.048,0.5455,1.6153,1.697,MARCH_SS,CACHE_L2,0x897B,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
57,LOT_B001,W002,D0002,0.738,1.347,85,69.579,0.5316,1.6419,1.805,MATS_PLUS,REGFILE_A,0xB4A7,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
58,LOT_B001,W002,D0002,0.738,1.384,85,68.803,0.5222,1.677,1.606,MARCH_Y,REGFILE_A,0x01A1,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
59,LOT_B001,W002,D0002,0.738,1.421,85,69.785,0.4895,1.5228,1.834,MARCH_B,REGFILE_A,0x1D77,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
60,LOT_B001,W002,D0002,0.738,1.458,85,71.342,0.5001,1.5399,1.788,MARCH_C_MINUS,SRAM_BANK_0,0xB8BF,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
61,LOT_B001,W002,D0002,0.758,0.827,85,67.97,0.8759,1.6572,1.745,MARCH_SS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.35
62,LOT_B001,W002,D0002,0.758,0.864,85,66.119,0.8442,1.7478,1.785,MATS_PLUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.3132
63,LOT_B001,W002,D0002,0.758,0.901,85,65.203,0.786,1.6606,1.697,MARCH_Y,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2763
64,LOT_B001,W002,D0002,0.758,0.938,85,65.553,0.765,1.6537,1.839,MARCH_B,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2395
65,LOT_B001,W002,D0002,0.758,0.974,85,66.432,0.7592,1.6184,1.623,MARCH_C_MINUS,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2026
66,LOT_B001,W002,D0002,0.758,1.011,85,68.712,0.7334,1.6592,1.833,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1658
67,LOT_B001,W002,D0002,0.758,1.048,85,70.042,0.691,1.6939,1.81,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1289
68,LOT_B001,W002,D0002,0.758,1.085,85,65.457,0.6598,1.7575,1.637,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.0921
69,LOT_B001,W002,D0002,0.758,1.122,85,65.539,0.6427,1.7715,1.82,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0553
70,LOT_B001,W002,D0002,0.758,1.159,85,68.641,0.6196,1.5472,1.777,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0184
71,LOT_B001,W002,D0002,0.758,1.195,85,64.991,0.5988,1.6051,1.683,MARCH_SS,CACHE_L2,0x3C7D,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
72,LOT_B001,W002,D0002,0.758,1.232,85,68.342,0.5842,1.6321,1.63,MATS_PLUS,REGFILE_A,0x333C,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
73,LOT_B001,W002,D0002,0.758,1.269,85,69.922,0.5747,1.5983,1.7,MARCH_Y,REGFILE_A,0x85FB,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
74,LOT_B001,W002,D0002,0.758,1.306,85,70.42,0.5473,1.7046,1.618,MARCH_B,REGFILE_A,0x64E2,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
75,LOT_B001,W002,D0002,0.758,1.343,85,68.972,0.5384,1.6489,1.674,MARCH_C_MINUS,SRAM_BANK_0,0xCE00,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
76,LOT_B001,W002,D0002,0.758,1.38,85,71.775,0.54,1.6778,1.755,MARCH_SS,SRAM_BANK_0,0x7407,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
77,LOT_B001,W002,D0002,0.758,1.416,85,70.963,0.4979,1.5784,1.666,MATS_PLUS,SRAM_BANK_0,0x9364,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
78,LOT_B001,W002,D0002,0.758,1.453,85,71.077,0.5142,1.7627,1.771,MARCH_Y,SRAM_BANK_1,0x439C,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
79,LOT_B001,W002,D0002,0.758,1.49,85,70.675,0.4897,1.7491,1.621,MARCH_B,SRAM_BANK_1,0xE31D,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
80,LOT_B001,W002,D0002,0.758,1.527,85,71.043,0.4687,1.7103,1.695,MARCH_C_MINUS,SRAM_BANK_1,0x4F55,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
81,LOT_B001,W002,D0002,0.777,0.896,85,66.973,0.8159,1.7887,1.734,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.35
82,LOT_B001,W002,D0002,0.777,0.933,85,67.359,0.7738,1.8989,1.789,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.3132
83,LOT_B001,W002,D0002,0.777,0.97,85,65.148,0.7361,1.7187,1.669,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.2763
84,LOT_B001,W002,D0002,0.777,1.007,85,67.969,0.7128,1.493,1.808,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2395
85,LOT_B001,W002,D0002,0.777,1.043,85,69.169,0.6844,1.8043,1.72,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2026
86,LOT_B001,W002,D0002,0.777,1.08,85,70.154,0.6626,1.8632,1.826,MARCH_SS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.1658
87,LOT_B001,W002,D0002,0.777,1.117,85,68.434,0.647,1.8371,1.623,MATS_PLUS,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.1289
88,LOT_B001,W002,D0002,0.777,1.154,85,69.188,0.6412,1.8405,1.674,MARCH_Y,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.0921
89,LOT_B001,W002,D0002,0.777,1.191,85,70.396,0.6111,1.8682,1.792,MARCH_B,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.0553
90,LOT_B001,W002,D0002,0.777,1.228,85,66.953,0.5986,1.8013,1.685,MARCH_C_MINUS,SRAM_BANK_0,0x186E,MBIST_RUN,FAIL,FREQ_MARGIN,0.0184
91,LOT_B001,W002,D0002,0.777,1.264,85,67.88,0.5743,1.831,1.718,MARCH_SS,SRAM_BANK_0,0x105C,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
92,LOT_B001,W002,D0002,0.777,1.301,85,69.941,0.5568,1.8205,1.686,MATS_PLUS,SRAM_BANK_0,0x92A9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
93,LOT_B001,W002,D0002,0.777,1.338,85,69.961,0.5277,1.7269,1.726,MARCH_Y,SRAM_BANK_1,0xB72C,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
94,LOT_B001,W002,D0002,0.777,1.375,85,69.478,0.5209,1.9284,1.728,MARCH_B,SRAM_BANK_1,0xB06A,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
95,LOT_B001,W002,D0002,0.777,1.412,85,71.988,0.5038,1.7123,1.652,MARCH_C_MINUS,SRAM_BANK_1,0x427E,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
96,LOT_B001,W002,D0002,0.777,1.449,85,70.953,0.4976,1.7866,1.78,MARCH_SS,CACHE_L1,0x9A99,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
97,LOT_B001,W002,D0002,0.777,1.485,85,72.165,0.4878,2.0175,1.627,MATS_PLUS,CACHE_L1,0x9DF9,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
98,LOT_B001,W002,D0002,0.777,1.522,85,69.841,0.4564,1.7947,1.646,MARCH_Y,CACHE_L1,0x0426,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
99,LOT_B001,W002,D0002,0.777,1.559,85,70.298,0.4552,1.7094,1.823,MARCH_B,CACHE_L2,0xACD3,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
100,LOT_B001,W002,D0002,0.777,1.596,85,68.92,0.4472,1.7474,1.746,MARCH_C_MINUS,CACHE_L2,0x65D5,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
101,LOT_B001,W002,D0002,0.796,0.965,85,69.901,0.7515,1.7771,1.671,MARCH_SS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.35
102,LOT_B001,W002,D0002,0.796,1.002,85,69.3,0.7378,1.7482,1.625,MATS_PLUS,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.3132
103,LOT_B001,W002,D0002,0.796,1.039,85,67.518,0.6869,1.8296,1.671,MARCH_Y,REGFILE_A,0x6B36,MBIST_RUN,FAIL,RETENTION_FAULT,0.2763
104,LOT_B001,W002,D0002,0.796,1.076,85,69.696,0.6709,2.0037,1.805,MARCH_B,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.2395
105,LOT_B001,W002,D0002,0.796,1.112,85,69.224,0.6651,1.9595,1.651,MARCH_C_MINUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.2026
106,LOT_B001,W002,D0002,0.796,1.149,85,70.05,0.6184,2.0079,1.792,MARCH_SS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.1658
107,LOT_B001,W002,D0002,0.796,1.186,85,69.404,0.5983,1.8443,1.748,MATS_PLUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.1289
108,LOT_B001,W002,D0002,0.796,1.223,85,68.557,0.5674,2.0199,1.65,MARCH_Y,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0921
109,LOT_B001,W002,D0002,0.796,1.26,85,69.1,0.5742,1.8544,1.752,MARCH_B,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0553
110,LOT_B001,W002,D0002,0.796,1.297,85,69.949,0.5569,1.8962,1.702,MARCH_C_MINUS,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.0184
111,LOT_B001,W002,D0002,0.796,1.333,85,69.801,0.5275,1.8748,1.612,MARCH_SS,CACHE_L1,0x555C,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
112,LOT_B001,W002,D0002,0.796,1.37,85,71.364,0.5213,1.8211,1.641,MATS_PLUS,CACHE_L1,0xF804,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
113,LOT_B001,W002,D0002,0.796,1.407,85,72.133,0.4988,1.8382,1.747,MARCH_Y,CACHE_L1,0xE991,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
114,LOT_B001,W002,D0002,0.796,1.444,85,71.072,0.5116,1.806,1.675,MARCH_B,CACHE_L2,0x5416,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
115,LOT_B001,W002,D0002,0.796,1.481,85,74.739,0.4704,1.7633,1.733,MARCH_C_MINUS,CACHE_L2,0xF334,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
116,LOT_B001,W002,D0002,0.796,1.518,85,72.39,0.4821,1.7418,1.635,MARCH_SS,CACHE_L2,0x3C0E,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
117,LOT_B001,W002,D0002,0.796,1.554,85,72.313,0.4737,1.8985,1.849,MATS_PLUS,REGFILE_A,0x7DB8,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
118,LOT_B001,W002,D0002,0.796,1.591,85,70.989,0.4443,1.9809,1.819,MARCH_Y,REGFILE_A,0xAB60,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
119,LOT_B001,W002,D0002,0.796,1.628,85,73.052,0.4327,1.7977,1.751,MARCH_B,REGFILE_A,0xF80E,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
120,LOT_B001,W002,D0002,0.796,1.665,85,72.549,0.4362,1.9207,1.78,MARCH_C_MINUS,SRAM_BANK_0,0x405E,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
121,LOT_B001,W002,D0002,0.815,1.034,85,70.643,0.7163,2.0108,1.807,MARCH_SS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.35
122,LOT_B001,W002,D0002,0.815,1.071,85,68.774,0.6756,1.9208,1.672,MATS_PLUS,SRAM_BANK_0,NA,MBIST_RUN,PASS,NA,0.3132
123,LOT_B001,W002,D0002,0.815,1.108,85,70.379,0.6521,2.0228,1.748,MARCH_Y,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2763
124,LOT_B001,W002,D0002,0.815,1.145,85,71.339,0.6358,1.903,1.619,MARCH_B,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2395
125,LOT_B001,W002,D0002,0.815,1.181,85,68.885,0.6045,1.9869,1.683,MARCH_C_MINUS,SRAM_BANK_1,NA,MBIST_RUN,PASS,NA,0.2026
126,LOT_B001,W002,D0002,0.815,1.218,85,68.539,0.5837,1.8267,1.786,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1658
127,LOT_B001,W002,D0002,0.815,1.255,85,71.34,0.5674,1.8801,1.704,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.1289
128,LOT_B001,W002,D0002,0.815,1.292,85,68.377,0.5295,1.9663,1.608,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.0921
129,LOT_B001,W002,D0002,0.815,1.329,85,70.719,0.545,1.8578,1.608,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0553
130,LOT_B001,W002,D0002,0.815,1.366,85,72.858,0.5203,1.8808,1.653,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.0184
131,LOT_B001,W002,D0002,0.815,1.402,85,72.262,0.5135,2.1355,1.815,MARCH_SS,CACHE_L2,0x543E,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0184
132,LOT_B001,W002,D0002,0.815,1.439,85,71.89,0.5018,1.8992,1.787,MATS_PLUS,REGFILE_A,0x5F7A,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0553
133,LOT_B001,W002,D0002,0.815,1.476,85,71.333,0.4991,2.1339,1.694,MARCH_Y,REGFILE_A,0x1C8F,MBIST_RUN,FAIL,FREQ_MARGIN,-0.0921
134,LOT_B001,W002,D0002,0.815,1.513,85,71.409,0.477,1.933,1.731,MARCH_B,REGFILE_A,0xD3DB,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1289
135,LOT_B001,W002,D0002,0.815,1.55,85,71.928,0.4289,1.9248,1.684,MARCH_C_MINUS,SRAM_BANK_0,0x3036,MBIST_RUN,FAIL,FREQ_MARGIN,-0.1658
136,LOT_B001,W002,D0002,0.815,1.587,85,72.843,0.4591,2.02,1.702,MARCH_SS,SRAM_BANK_0,0xB856,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2026
137,LOT_B001,W002,D0002,0.815,1.623,85,72.978,0.4537,1.8236,1.649,MATS_PLUS,SRAM_BANK_0,0xF6FE,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2395
138,LOT_B001,W002,D0002,0.815,1.66,85,72.871,0.4385,1.8556,1.625,MARCH_Y,SRAM_BANK_1,0x885F,MBIST_RUN,FAIL,FREQ_MARGIN,-0.2763
139,LOT_B001,W002,D0002,0.815,1.697,85,73.972,0.4249,1.8179,1.622,MARCH_B,SRAM_BANK_1,0x1149,MBIST_RUN,FAIL,FREQ_MARGIN,-0.3132
140,LOT_B001,W002,D0002,0.815,1.734,85,71.742,0.4329,1.854,1.695,MARCH_C_MINUS,SRAM_BANK_1,0x91D6,MBIST_RUN,FAIL,FREQ_MARGIN,-0.35
141,LOT_B001,W002,D0002,0.834,1.103,85,71.456,0.6461,2.1271,1.655,MARCH_SS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.35
142,LOT_B001,W002,D0002,0.834,1.14,85,70.223,0.6219,2.0495,1.646,MATS_PLUS,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.3132
143,LOT_B001,W002,D0002,0.834,1.177,85,73.685,0.584,2.1207,1.701,MARCH_Y,CACHE_L1,NA,MBIST_RUN,PASS,NA,0.2763
144,LOT_B001,W002,D0002,0.834,1.214,85,71.488,0.5813,1.9675,1.825,MARCH_B,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2395
145,LOT_B001,W002,D0002,0.834,1.25,85,72.512,0.5873,2.0608,1.804,MARCH_C_MINUS,CACHE_L2,NA,MBIST_RUN,PASS,NA,0.2026
146,LOT_B001,W002,D0002,0.834,1.287,85,70.012,0.5593,2.0456,1.78,MARCH_SS,CACHE_L2,0x4155,MBIST_RUN,FAIL,COUPLING_FAULT,0.1658
147,LOT_B001,W002,D0002,0.834,1.324,85,71.831,0.5536,2.1843,1.644,MATS_PLUS,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.1289
148,LOT_B001,W002,D0002,0.834,1.361,85,71.504,0.5371,2.0818,1.612,MARCH_Y,REGFILE_A,0xC56A,MBIST_RUN,FAIL,RETENTION_FAULT,0.0921
149,LOT_B001,W002,D0002,0.834,1.398,85,71.699,0.5272,2.0695,1.753,MARCH_B,REGFILE_A,NA,MBIST_RUN,PASS,NA,0.0553
